country_code,Country,2020_income_group,2020_total_gdp_million,2020_porcentaje
ITA,Italy,Ingreso Alto,1907481.09407923,0.89
JAM,Jamaica,Ingreso Mediano Alto,13812.4218034084,0.01
JOR,Jordan,Países De Ingreso Mediano Bajo,43700.3830985916,0.02
JPN,Japan,Ingreso Alto,5055587.09350159,2.37
KAZ,Kazakhstan,Ingreso Mediano Alto,171082.365861423,0.08
KEN,Kenya,Países De Ingreso Mediano Bajo,100657.505750545,0.05
KGZ,Kyrgyzstan,Países De Ingreso Mediano Bajo,8270.46861424051,0.0
KHM,Cambodia,Países De Ingreso Mediano Bajo,34818.0739014851,0.02
KIR,Kiribati,Países De Ingreso Mediano Bajo,223.123620597516,0.0
KNA,Saint Kitts And Nevis,Ingreso Alto,883.922222222222,0.0
KOR,"Korea, Republic Of",Ingreso Alto,1644312.83190617,0.77
KWT,Kuwait,Ingreso Alto,111045.470461207,0.05
LAO,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,18981.8052502424,0.01
LBN,Lebanon,Países De Ingreso Mediano Bajo,31712.1282537961,0.01
LBR,Liberia,Países De Ingreso Bajo,3176.1263,0.0
LBY,Libya,Ingreso Mediano Alto,46854.285440642,0.02
LCA,Saint Lucia,Ingreso Mediano Alto,1499.2962962963,0.0
LIE,Liechtenstein,Ingreso Alto,6405.870210322931,0.0
LKA,Sri Lanka,Países De Ingreso Mediano Bajo,84304.2987705329,0.04
LSO,Lesotho,Países De Ingreso Mediano Bajo,2053.69987007191,0.0
LTU,Lithuania,Ingreso Alto,57412.0385332718,0.03
LUX,Luxembourg,Ingreso Alto,73699.36670021339,0.03
LVA,Latvia,Ingreso Alto,33379.927434614896,0.02
MAC,Macao,Ingreso Alto,25343.5259358358,0.01
MAF,Saint Martin (French Part),Ingreso Alto,0.0,0.0
MAR,Morocco,Países De Ingreso Mediano Bajo,121353.645057144,0.06
MCO,Monaco,Ingreso Alto,6730.7362827896095,0.0
MDA,"Moldova, Republic Of",Ingreso Mediano Alto,11530.7462344492,0.01
MDG,Madagascar,Países De Ingreso Bajo,13051.4412039474,0.01
MDV,Maldives,Ingreso Mediano Alto,3712.6045833666494,0.0
MEX,Mexico,Ingreso Mediano Alto,1121064.76726188,0.52
MHL,Marshall Islands,Ingreso Mediano Alto,241.8,0.0
MKD,North Macedonia,Ingreso Mediano Alto,12361.0369138409,0.01
MLI,Mali,Países De Ingreso Bajo,17465.3927643706,0.01
MLT,Malta,Ingreso Alto,16385.9195356742,0.01
MMR,Myanmar,Países De Ingreso Mediano Bajo,79006.11364319059,0.04
MNE,Montenegro,Ingreso Mediano Alto,4769.99686600758,0.0
MNG,Mongolia,Ingreso Mediano Alto,13312.9814290891,0.01
MNP,Northern Mariana Islands,Ingreso Alto,866.0,0.0
MOZ,Mozambique,Países De Ingreso Bajo,14235.4201741884,0.01
MRT,Mauritania,Países De Ingreso Mediano Bajo,8260.75238523089,0.0
MUS,Mauritius,Ingreso Mediano Alto,11408.1064463144,0.01
MWI,Malawi,Países De Ingreso Bajo,11769.3135978545,0.01
MYS,Malaysia,Ingreso Mediano Alto,337456.163961211,0.16
NAM,Namibia,Ingreso Mediano Alto,10583.748541525802,0.0
NCL,New Caledonia,Ingreso Alto,9454.62946791408,0.0
NER,Niger,Países De Ingreso Bajo,13744.653103058,0.01
NGA,Nigeria,Países De Ingreso Mediano Bajo,432198.898467795,0.2
NIC,Nicaragua,Países De Ingreso Mediano Bajo,12681.5692542815,0.01
NLD,Netherlands,Ingreso Alto,932560.86170117,0.44
NOR,Norway,Ingreso Alto,367633.418886627,0.17
NPL,Nepal,Países De Ingreso Mediano Bajo,33433.659301246604,0.02
NRU,Nauru,Ingreso Alto,124.530027301054,0.0
NZL,New Zealand,Ingreso Alto,212697.53089756,0.1
OMN,Oman,Ingreso Alto,75909.4928478544,0.04
PAK,Pakistan,Países De Ingreso Mediano Bajo,300425.609817981,0.14
PAN,Panama,Ingreso Alto,57059.8465,0.03
PER,Peru,Ingreso Mediano Alto,201409.694755934,0.09
PHL,Philippines,Países De Ingreso Mediano Bajo,361751.145451597,0.17
PLW,Palau,Ingreso Alto,258.99084375,0.0
PNG,Papua New Guinea,Países De Ingreso Mediano Bajo,23848.4478497467,0.01
POL,Poland,Ingreso Alto,605914.2379037419,0.28
PRI,Puerto Rico,Ingreso Alto,103130.9,0.05
PRK,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0
PRT,Portugal,Ingreso Alto,229618.77342257695,0.11
PRY,Paraguay,Ingreso Mediano Alto,35432.1780681814,0.02
PSE,"Palestine, State Of",Países De Ingreso Mediano Bajo,15531.7,0.01
PYF,French Polynesia,Ingreso Alto,5792.54587080614,0.0
QAT,Qatar,Ingreso Alto,144411.36334527,0.07
ROU,Romania,Ingreso Alto,252033.792712145,0.12
RUS,Russian Federation,Ingreso Alto,1493075.89436214,0.7
RWA,Rwanda,Países De Ingreso Bajo,10174.3873743478,0.0
SAU,Saudi Arabia,Ingreso Alto,734271.2,0.34
SDN,Sudan,Países De Ingreso Bajo,27034.59375,0.01
SEN,Senegal,Países De Ingreso Mediano Bajo,24530.5130377518,0.01
SGP,Singapore,Ingreso Alto,349488.382610662,0.16
SLB,Solomon Islands,Países De Ingreso Mediano Bajo,1536.14581417007,0.0
SLE,Sierra Leone,Países De Ingreso Bajo,6688.59475762129,0.0
SLV,El Salvador,Ingreso Mediano Alto,24921.19,0.01
SMR,San Marino,Ingreso Alto,1544.71449324409,0.0
SOM,Somalia,Países De Ingreso Bajo,8628.39371999922,0.0
SRB,Serbia,Ingreso Mediano Alto,55874.017668998,0.03
SSD,South Sudan,Países De Ingreso Bajo,0.0,0.0
STP,Sao Tome And Principe,Países De Ingreso Mediano Bajo,471.229484607144,0.0
SUR,Suriname,Ingreso Mediano Alto,2911.80749620227,0.0
SVK,Slovakia,Ingreso Alto,107732.602896441,0.05
SVN,Slovenia,Ingreso Alto,53384.760135158096,0.02
SWE,Sweden,Ingreso Alto,545147.614972141,0.26
SWZ,Eswatini,Países De Ingreso Mediano Bajo,4105.75686255271,0.0
SXM,Sint Maarten (Dutch Part),Ingreso Alto,1236.42810055866,0.0
SYC,Seychelles,Ingreso Alto,1382.55175156908,0.0
SYR,Syrian Arab Republic,Países De Ingreso Bajo,12047.752036091,0.01
TCA,Turks And Caicos Islands,Ingreso Alto,774.653669315186,0.0
TCD,Chad,Países De Ingreso Bajo,10715.3960423343,0.01
TGO,Togo,Países De Ingreso Bajo,7400.28416778479,0.0
THA,Thailand,Ingreso Mediano Alto,500461.898480246,0.23
TJK,Tajikistan,Países De Ingreso Mediano Bajo,8133.9635506574205,0.0
TKM,Turkmenistan,Ingreso Mediano Alto,45818.0,0.02
TLS,Timor-Leste,Países De Ingreso Mediano Bajo,2162.6192,0.0
TON,Tonga,Ingreso Mediano Alto,496.85629576752,0.0
TTO,Trinidad And Tobago,Ingreso Alto,20807.7161740546,0.01
TUN,Tunisia,Países De Ingreso Mediano Bajo,42491.780918361,0.02
TUR,Turkey,Ingreso Mediano Alto,720338.490327248,0.34
TUV,Tuvalu,Ingreso Mediano Alto,51.7465943148543,0.0
TZA,"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,66068.73778606391,0.03
UGA,Uganda,Países De Ingreso Bajo,37600.3682416657,0.02
UKR,Ukraine,Ingreso Mediano Alto,156617.72201334202,0.07
URY,Uruguay,Ingreso Alto,53668.6365678667,0.03
USA,United States Of America,Ingreso Alto,21354105.0,10.0
UZB,Uzbekistan,Países De Ingreso Mediano Bajo,66443.2654183086,0.03
VCT,Saint Vincent And The Grenadines,Ingreso Mediano Alto,869.1111111111111,0.0
VEN,Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0
VGB,Virgin Islands (British),Ingreso Alto,0.0,0.0
VIR,Virgin Islands (U.S.),Ingreso Alto,4229.0,0.0
VNM,Viet Nam,Países De Ingreso Mediano Bajo,346615.738537796,0.16
VUT,Vanuatu,Países De Ingreso Mediano Bajo,909.421043508407,0.0
WSM,Samoa,Países De Ingreso Mediano Bajo,868.8983582664371,0.0
YEM,Yemen,Países De Ingreso Bajo,0.0,0.0
ZAF,South Africa,Ingreso Mediano Alto,337974.655408055,0.16
ZMB,Zambia,Países De Ingreso Mediano Bajo,18137.764930651,0.01
ZWE,Zimbabwe,Países De Ingreso Mediano Bajo,26867.9364446826,0.01
