country_code,Country,2019_income_group,2019_total_gdp_million,2019_porcentaje
ABW,Aruba,Ingreso Alto,3395.79888268156,0.0
AFG,Afghanistan,Países De Ingreso Bajo,18799.4444901128,0.01
AGO,Angola,Países De Ingreso Mediano Bajo,70897.96273202769,0.03
ALB,Albania,Ingreso Mediano Alto,15585.1051310644,0.01
AND,Andorra,Ingreso Alto,3155.14934780639,0.0
ARE,United Arab Emirates,Ingreso Alto,417989.721734494,0.19
ARG,Argentina,Ingreso Mediano Alto,447754.68361522496,0.21
ARM,Armenia,Ingreso Mediano Alto,13619.2905392116,0.01
ASM,American Samoa,Ingreso Alto,647.0,0.0
ATG,Antigua And Barbuda,Ingreso Alto,1725.35185185185,0.0
AUS,Australia,Ingreso Alto,1392723.83456264,0.65
AUT,Austria,Ingreso Alto,442983.642371842,0.21
AZE,Azerbaijan,Ingreso Mediano Alto,48174.2352941176,0.02
BDI,Burundi,Países De Ingreso Bajo,2576.5188798235304,0.0
BEL,Belgium,Ingreso Alto,536726.344405489,0.25
BEN,Benin,Países De Ingreso Mediano Bajo,14391.686309033,0.01
BFA,Burkina Faso,Países De Ingreso Bajo,16032.8135033707,0.01
BGD,Bangladesh,Países De Ingreso Mediano Bajo,351231.654603692,0.16
BGR,Bulgaria,Ingreso Alto,68631.72628927941,0.03
BHR,Bahrain,Ingreso Alto,40446.8085106383,0.02
BHS,Bahamas,Ingreso Alto,13016.2,0.01
BIH,Bosnia And Herzegovina,Ingreso Mediano Alto,20482.608755379,0.01
BLR,Belarus,Ingreso Mediano Alto,64410.1228473508,0.03
BLZ,Belize,Ingreso Mediano Alto,2388.3,0.0
BMU,Bermuda,Ingreso Alto,7423.465,0.0
BOL,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,40895.3228437851,0.02
BRA,Brazil,Ingreso Mediano Alto,1873288.20518645,0.87
BRB,Barbados,Ingreso Alto,5788.288,0.0
BRN,Brunei Darussalam,Ingreso Alto,13469.2353482211,0.01
BTN,Bhutan,Países De Ingreso Mediano Bajo,2735.68357028851,0.0
BWA,Botswana,Ingreso Mediano Alto,16725.9081485481,0.01
CAF,Central African Republic,Países De Ingreso Bajo,2221.30135143918,0.0
CAN,Canada,Ingreso Alto,1743725.18367252,0.81
CHE,Switzerland,Ingreso Alto,721369.112726724,0.33
CHL,Chile,Ingreso Alto,278285.058719466,0.13
CHN,China,Ingreso Mediano Alto,14279968.5062717,6.63
CIV,Côte D'Ivoire,Países De Ingreso Mediano Bajo,60382.894697355696,0.03
CMR,Cameroon,Países De Ingreso Mediano Bajo,39667.7575276578,0.02
COD,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,51775.8298772088,0.02
COG,Congo,Países De Ingreso Mediano Bajo,13976.6377799763,0.01
COL,Colombia,Ingreso Mediano Alto,323031.70119284,0.15
COM,Comoros,Países De Ingreso Mediano Bajo,1195.0195319011,0.0
CPV,Cabo Verde,Países De Ingreso Mediano Bajo,2252.17713374705,0.0
CRI,Costa Rica,Ingreso Mediano Alto,64417.6705213545,0.03
CUB,Cuba,Ingreso Mediano Alto,103427.6,0.05
CUW,Curaçao,Ingreso Alto,3026.12413407821,0.0
CYM,Cayman Islands,Ingreso Alto,5941.89660758643,0.0
CYP,Cyprus,Ingreso Alto,26196.6670995303,0.01
CZE,Czechia,Ingreso Alto,256794.20902877,0.12
DEU,Germany,Ingreso Alto,3957208.05521568,1.84
DJI,Djibouti,Países De Ingreso Mediano Bajo,3088.85363856832,0.0
DMA,Dominica,Ingreso Mediano Alto,611.5370370370371,0.0
DNK,Denmark,Ingreso Alto,345401.473012615,0.16
DOM,Dominican Republic,Ingreso Mediano Alto,88941.3725582397,0.04
DZA,Algeria,Ingreso Mediano Alto,193459.662090677,0.09
