Country,2022_income_group,2022_total_gdp_million,2022_porcentaje
Aruba,Ingreso Alto,3279.34354360416,0.0
Afghanistan,Países De Ingreso Bajo,14497.2438721337,0.01
Angola,Países De Ingreso Mediano Bajo,104399.746853401,0.04
Albania,Ingreso Mediano Alto,19017.2425857803,0.01
Andorra,Ingreso Alto,3380.61257332922,0.0
United Arab Emirates,Ingreso Alto,502731.935197487,0.19
Argentina,Ingreso Mediano Alto,632790.0700631241,0.24
Armenia,Ingreso Mediano Alto,19513.5065531251,0.01
American Samoa,Ingreso Alto,871.0,0.0
Antigua And Barbuda,Ingreso Alto,1867.73333333333,0.0
Australia,Ingreso Alto,1690858.24699443,0.65
Austria,Ingreso Alto,471773.62983038096,0.18
Azerbaijan,Ingreso Mediano Alto,78807.4705882353,0.03
Burundi,Países De Ingreso Bajo,3338.72282765691,0.0
Belgium,Ingreso Alto,593438.820508173,0.23
Benin,Países De Ingreso Mediano Bajo,17401.746309265498,0.01
Burkina Faso,Países De Ingreso Bajo,18820.2186905948,0.01
Bangladesh,Países De Ingreso Mediano Bajo,460131.688909301,0.18
Bulgaria,Ingreso Alto,90642.8518358996,0.03
Bahrain,Ingreso Alto,46680.3989361702,0.02
Bahamas,Ingreso Alto,13136.4,0.01
Bosnia And Herzegovina,Ingreso Mediano Alto,24534.6636361778,0.01
Belarus,Ingreso Mediano Alto,73775.179924603,0.03
Belize,Ingreso Mediano Alto,2846.7,0.0
Bermuda,Ingreso Alto,7827.98,0.0
Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,44008.2828779606,0.02
Brazil,Ingreso Mediano Alto,1951923.94208332,0.75
Barbados,Ingreso Alto,6257.3035,0.0
Brunei Darussalam,Ingreso Alto,16681.5364425498,0.01
Bhutan,Países De Ingreso Mediano Bajo,2898.22774313545,0.0
Botswana,Ingreso Mediano Alto,20321.958850036302,0.01
Central African Republic,Países De Ingreso Bajo,2382.61861501694,0.0
Canada,Ingreso Alto,2161483.36942201,0.83
Switzerland,Ingreso Alto,818426.5502064499,0.31
Chile,Ingreso Alto,302116.53940903005,0.12
China,Ingreso Mediano Alto,17881782.6837073,6.88
Côte D'Ivoire,Países De Ingreso Mediano Bajo,70173.1401014315,0.03
Cameroon,Países De Ingreso Mediano Bajo,44347.2060725513,0.02
"Congo, Democratic Republic Of The",Países De Ingreso Bajo,65801.5476195815,0.03
Congo,Países De Ingreso Mediano Bajo,15817.0301546941,0.01
Colombia,Ingreso Mediano Alto,345329.875078512,0.13
Comoros,Países De Ingreso Mediano Bajo,1242.51940777603,0.0
Cabo Verde,Países De Ingreso Mediano Bajo,2247.00334763376,0.0
Costa Rica,Ingreso Mediano Alto,69243.6260285936,0.03
Cuba,Ingreso Mediano Alto,0.0,0.0
Curaçao,Ingreso Alto,3075.1808347241704,0.0
Cayman Islands,Ingreso Alto,6600.84396337585,0.0
Cyprus,Ingreso Alto,30976.1768868521,0.01
