country_code,Country,2019_income_group,2019_total_gdp_million,2019_porcentaje,Country,2020_income_group,2020_total_gdp_million,2020_porcentaje,Country,2021_income_group,2021_total_gdp_million,2021_porcentaje,Country,2022_income_group,2022_total_gdp_million,2022_porcentaje,Country,2023_income_group,2023_total_gdp_million,2023_porcentaje
IND,India,Países De Ingreso Mediano Bajo,2835606.25655819,1.32,India,Países De Ingreso Mediano Bajo,2674851.57858727,1.25,India,Países De Ingreso Mediano Bajo,3167270.62326047,1.34,India,Países De Ingreso Mediano Bajo,3353470.49688633,1.29,India,Países De Ingreso Mediano Bajo,3567551.6746230097,1.29
IRL,Ireland,Ingreso Alto,407124.824064995,0.19,Ireland,Ingreso Alto,436555.518400451,0.2,Ireland,Ingreso Alto,531306.516907984,0.22,Ireland,Ingreso Alto,548570.250341987,0.21,Ireland,Ingreso Alto,551394.889339778,0.2
IRN,Iran (Islamic Republic Of),Ingreso Mediano Alto,333519.146339191,0.15,Iran (Islamic Republic Of),Ingreso Mediano Alto,262186.179355944,0.12,Iran (Islamic Republic Of),Ingreso Mediano Alto,383436.202446695,0.16,Iran (Islamic Republic Of),Ingreso Mediano Alto,394362.62179303495,0.15,Iran (Islamic Republic Of),Ingreso Mediano Alto,404625.655204619,0.15
IRQ,Iraq,Ingreso Mediano Alto,233636.097800338,0.11,Iraq,Ingreso Mediano Alto,180898.797516874,0.08,Iraq,Ingreso Mediano Alto,209691.945713103,0.09,Iraq,Ingreso Mediano Alto,286640.34096551704,0.11,Iraq,Ingreso Mediano Alto,250842.782139464,0.09
ISL,Iceland,Ingreso Alto,24681.3436492952,0.01,Iceland,Ingreso Alto,21629.9531940659,0.01,Iceland,Ingreso Alto,25825.287184381803,0.01,Iceland,Ingreso Alto,28770.2066265564,0.01,Iceland,Ingreso Alto,31325.1165563807,0.01
ISR,Israel,Ingreso Alto,399651.06519787095,0.19,Israel,Ingreso Alto,411728.563086632,0.19,Israel,Ingreso Alto,489708.27889305295,0.21,Israel,Ingreso Alto,525000.4152766779,0.2,Israel,Ingreso Alto,513611.100815691,0.19
ITA,Italy,Ingreso Alto,2019606.79658353,0.94,Italy,Ingreso Alto,1907481.09407923,0.89,Italy,Ingreso Alto,2179207.7735960903,0.92,Italy,Ingreso Alto,2102995.94272044,0.81,Italy,Ingreso Alto,2300941.15299181,0.83
JAM,Jamaica,Ingreso Mediano Alto,15830.7665707266,0.01,Jamaica,Ingreso Mediano Alto,13812.4218034084,0.01,Jamaica,Ingreso Mediano Alto,14657.5861270331,0.01,Jamaica,Ingreso Mediano Alto,17097.7607239201,0.01,Jamaica,Ingreso Mediano Alto,19423.3554092316,0.01
JOR,Jordan,Países De Ingreso Mediano Bajo,44503.0063380282,0.02,Jordan,Países De Ingreso Mediano Bajo,43700.3830985916,0.02,Jordan,Países De Ingreso Mediano Bajo,46296.1001408451,0.02,Jordan,Países De Ingreso Mediano Bajo,48764.9633802817,0.02,Jordan,Países De Ingreso Mediano Bajo,50967.4753521127,0.02
JPN,Japan,Ingreso Alto,5117993.85301651,2.38,Japan,Ingreso Alto,5055587.09350159,2.37,Japan,Ingreso Alto,5034620.78458498,2.13,Japan,Ingreso Alto,4256410.76072375,1.64,Japan,Ingreso Alto,4204494.80243155,1.52
KAZ,Kazakhstan,Ingreso Mediano Alto,181667.184854501,0.08,Kazakhstan,Ingreso Mediano Alto,171082.365861423,0.08,Kazakhstan,Ingreso Mediano Alto,197112.255360612,0.08,Kazakhstan,Ingreso Mediano Alto,225496.328925494,0.09,Kazakhstan,Ingreso Mediano Alto,262641.892078524,0.09
KEN,Kenya,Países De Ingreso Mediano Bajo,100378.436207371,0.05,Kenya,Países De Ingreso Mediano Bajo,100657.505750545,0.05,Kenya,Países De Ingreso Mediano Bajo,109703.658904994,0.05,Kenya,Países De Ingreso Mediano Bajo,114448.978152637,0.04,Kenya,Países De Ingreso Mediano Bajo,108038.588970595,0.04
KGZ,Kyrgyzstan,Países De Ingreso Mediano Bajo,9371.27526436735,0.0,Kyrgyzstan,Países De Ingreso Mediano Bajo,8270.46861424051,0.0,Kyrgyzstan,Países De Ingreso Mediano Bajo,9249.13394626531,0.0,Kyrgyzstan,Países De Ingreso Mediano Bajo,12134.9310179465,0.0,Kyrgyzstan,Países De Ingreso Mediano Bajo,13987.6279088381,0.01
KHM,Cambodia,Países De Ingreso Mediano Bajo,36685.3564077206,0.02,Cambodia,Países De Ingreso Mediano Bajo,34818.0739014851,0.02,Cambodia,Países De Ingreso Mediano Bajo,36790.1636874421,0.02,Cambodia,Países De Ingreso Mediano Bajo,39994.5329596074,0.02,Cambodia,Países De Ingreso Mediano Bajo,42335.6468957984,0.02
KIR,Kiribati,Países De Ingreso Mediano Bajo,216.985362338171,0.0,Kiribati,Países De Ingreso Mediano Bajo,223.123620597516,0.0,Kiribati,Países De Ingreso Mediano Bajo,289.33929215730103,0.0,Kiribati,Países De Ingreso Mediano Bajo,270.841698369345,0.0,Kiribati,Países De Ingreso Mediano Bajo,279.208903337644,0.0
KNA,Saint Kitts And Nevis,Ingreso Alto,1107.8555555555602,0.0,Saint Kitts And Nevis,Ingreso Alto,883.922222222222,0.0,Saint Kitts And Nevis,Ingreso Alto,858.6222222222219,0.0,Saint Kitts And Nevis,Ingreso Alto,981.42962962963,0.0,Saint Kitts And Nevis,Ingreso Alto,1055.49977777778,0.0
KOR,"Korea, Republic Of",Ingreso Alto,1651422.93244777,0.77,"Korea, Republic Of",Ingreso Alto,1644312.83190617,0.77,"Korea, Republic Of",Ingreso Alto,1818432.10688004,0.77,"Korea, Republic Of",Ingreso Alto,1673916.51179971,0.64,"Korea, Republic Of",Ingreso Alto,1712792.8542023702,0.62
KWT,Kuwait,Ingreso Alto,140856.39487001998,0.07,Kuwait,Ingreso Alto,111045.470461207,0.05,Kuwait,Ingreso Alto,148459.291453471,0.06,Kuwait,Ingreso Alto,183940.21506517095,0.07,Kuwait,Ingreso Alto,163704.87887585,0.06
LAO,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,18740.5615125555,0.01,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,18981.8052502424,0.01,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,18827.1485309347,0.01,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,15468.7852037532,0.01,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,15843.1557312552,0.01
LBN,Lebanon,Países De Ingreso Mediano Bajo,51605.9591312741,0.02,Lebanon,Países De Ingreso Mediano Bajo,31712.1282537961,0.01,Lebanon,Países De Ingreso Mediano Bajo,23131.941556784303,0.01,Lebanon,Países De Ingreso Mediano Bajo,20992.4219488081,0.01,Lebanon,Países De Ingreso Mediano Bajo,0.0,0.0
LBR,Liberia,Países De Ingreso Bajo,3319.5965,0.0,Liberia,Países De Ingreso Bajo,3176.1263,0.0,Liberia,Países De Ingreso Bajo,3513.0495,0.0,Liberia,Países De Ingreso Bajo,4001.047,0.0,Liberia,Países De Ingreso Bajo,4240.0,0.0
LBY,Libya,Ingreso Mediano Alto,69254.4964716938,0.03,Libya,Ingreso Mediano Alto,46854.285440642,0.02,Libya,Ingreso Mediano Alto,35217.9956472862,0.01,Libya,Ingreso Mediano Alto,43246.2979218499,0.02,Libya,Ingreso Mediano Alto,45096.4629724014,0.02
LCA,Saint Lucia,Ingreso Mediano Alto,2095.37037037037,0.0,Saint Lucia,Ingreso Mediano Alto,1499.2962962963,0.0,Saint Lucia,Ingreso Mediano Alto,1867.18518518518,0.0,Saint Lucia,Ingreso Mediano Alto,2342.7037037037003,0.0,Saint Lucia,Ingreso Mediano Alto,2430.14814814815,0.0
LIE,Liechtenstein,Ingreso Alto,6436.46700711932,0.0,Liechtenstein,Ingreso Alto,6405.870210322931,0.0,Liechtenstein,Ingreso Alto,7710.38008592257,0.0,Liechtenstein,Ingreso Alto,7361.50443219331,0.0,Liechtenstein,Ingreso Alto,0.0,0.0
LKA,Sri Lanka,Países De Ingreso Mediano Bajo,89014.9783441404,0.04,Sri Lanka,Países De Ingreso Mediano Bajo,84304.2987705329,0.04,Sri Lanka,Países De Ingreso Mediano Bajo,88609.32490197741,0.04,Sri Lanka,Países De Ingreso Mediano Bajo,74144.87002342439,0.03,Sri Lanka,Países De Ingreso Mediano Bajo,84356.8637436335,0.03
LSO,Lesotho,Países De Ingreso Mediano Bajo,2390.7022958277703,0.0,Lesotho,Países De Ingreso Mediano Bajo,2053.69987007191,0.0,Lesotho,Países De Ingreso Mediano Bajo,2412.1300565585098,0.0,Lesotho,Países De Ingreso Mediano Bajo,2354.6830887199503,0.0,Lesotho,Países De Ingreso Mediano Bajo,2117.96245079469,0.0
LTU,Lithuania,Ingreso Alto,55122.066225796,0.03,Lithuania,Ingreso Alto,57412.0385332718,0.03,Lithuania,Ingreso Alto,67037.3210089679,0.03,Lithuania,Ingreso Alto,71033.88449978239,0.03,Lithuania,Ingreso Alto,79789.8774161681,0.03
LUX,Luxembourg,Ingreso Alto,69890.50532358419,0.03,Luxembourg,Ingreso Alto,73699.36670021339,0.03,Luxembourg,Ingreso Alto,85584.1059938746,0.04,Luxembourg,Ingreso Alto,81641.8078657591,0.03,Luxembourg,Ingreso Alto,85755.00612359759,0.03
LVA,Latvia,Ingreso Alto,33099.503950847,0.02,Latvia,Ingreso Alto,33379.927434614896,0.02,Latvia,Ingreso Alto,38185.1257329451,0.02,Latvia,Ingreso Alto,38018.905782397,0.01,Latvia,Ingreso Alto,42247.850064512495,0.02
MAC,Macao,Ingreso Alto,55082.2938441008,0.03,Macao,Ingreso Alto,25343.5259358358,0.01,Macao,Ingreso Alto,30969.334705051497,0.01,Macao,Ingreso Alto,24999.1134758368,0.01,Macao,Ingreso Alto,45803.06794040721,0.02
MAF,Saint Martin (French Part),Ingreso Alto,652.206037103874,0.0,Saint Martin (French Part),Ingreso Alto,0.0,0.0,Saint Martin (French Part),Ingreso Alto,649.206262847519,0.0,Saint Martin (French Part),Ingreso Alto,0.0,0.0,Saint Martin (French Part),Ingreso Alto,0.0,0.0
MAR,Morocco,Países De Ingreso Mediano Bajo,128920.266409458,0.06,Morocco,Países De Ingreso Mediano Bajo,121353.645057144,0.06,Morocco,Países De Ingreso Mediano Bajo,142022.058447231,0.06,Morocco,Países De Ingreso Mediano Bajo,130951.926351241,0.05,Morocco,Países De Ingreso Mediano Bajo,144417.103249646,0.05
MCO,Monaco,Ingreso Alto,7383.49625423721,0.0,Monaco,Ingreso Alto,6730.7362827896095,0.0,Monaco,Ingreso Alto,8623.242743295641,0.0,Monaco,Ingreso Alto,8800.43048617137,0.0,Monaco,Ingreso Alto,9995.35054712166,0.0
MDA,"Moldova, Republic Of",Ingreso Mediano Alto,11736.7970546965,0.01,"Moldova, Republic Of",Ingreso Mediano Alto,11530.7462344492,0.01,"Moldova, Republic Of",Ingreso Mediano Alto,13691.8692640794,0.01,"Moldova, Republic Of",Ingreso Mediano Alto,14510.4906602516,0.01,"Moldova, Republic Of",Ingreso Mediano Alto,16539.436547295,0.01
MDG,Madagascar,Países De Ingreso Bajo,14104.6646785063,0.01,Madagascar,Países De Ingreso Bajo,13051.4412039474,0.01,Madagascar,Países De Ingreso Bajo,14554.7541165427,0.01,Madagascar,Países De Ingreso Bajo,15134.7002030497,0.01,Madagascar,Países De Ingreso Bajo,15790.1132467478,0.01
MDV,Maldives,Ingreso Mediano Alto,5726.094799377091,0.0,Maldives,Ingreso Mediano Alto,3712.6045833666494,0.0,Maldives,Ingreso Mediano Alto,5252.45736955218,0.0,Maldives,Ingreso Mediano Alto,6177.11811394637,0.0,Maldives,Ingreso Mediano Alto,6590.8943019579,0.0
MEX,Mexico,Ingreso Mediano Alto,1304106.2036948102,0.61,Mexico,Ingreso Mediano Alto,1121064.76726188,0.52,Mexico,Ingreso Mediano Alto,1316569.46693259,0.56,Mexico,Ingreso Mediano Alto,1464312.69233158,0.56,Mexico,Ingreso Mediano Alto,1789114.43484346,0.65
MHL,Marshall Islands,Ingreso Mediano Alto,232.9,0.0,Marshall Islands,Ingreso Mediano Alto,241.8,0.0,Marshall Islands,Ingreso Mediano Alto,258.9,0.0,Marshall Islands,Ingreso Mediano Alto,253.4,0.0,Marshall Islands,Ingreso Mediano Alto,259.3,0.0
MKD,North Macedonia,Ingreso Mediano Alto,12606.338448547,0.01,North Macedonia,Ingreso Mediano Alto,12361.0369138409,0.01,North Macedonia,Ingreso Mediano Alto,14000.2838270154,0.01,North Macedonia,Ingreso Mediano Alto,13932.4365500883,0.01,North Macedonia,Ingreso Mediano Alto,15763.621848115,0.01
MLI,Mali,Países De Ingreso Bajo,17280.2508100321,0.01,Mali,Países De Ingreso Bajo,17465.3927643706,0.01,Mali,Países De Ingreso Bajo,19309.4635080377,0.01,Mali,Países De Ingreso Bajo,18780.3222037584,0.01,Mali,Países De Ingreso Bajo,20661.7945960873,0.01
MLT,Malta,Ingreso Alto,16337.7935307788,0.01,Malta,Ingreso Alto,16385.9195356742,0.01,Malta,Ingreso Alto,19718.565605433,0.01,Malta,Ingreso Alto,19209.9799752323,0.01,Malta,Ingreso Alto,22328.640241555306,0.01
MMR,Myanmar,Países De Ingreso Mediano Bajo,75065.10622768919,0.03,Myanmar,Países De Ingreso Mediano Bajo,79006.11364319059,0.04,Myanmar,Países De Ingreso Mediano Bajo,66345.2911601683,0.03,Myanmar,Países De Ingreso Mediano Bajo,62253.0498916449,0.02,Myanmar,Países De Ingreso Mediano Bajo,66757.619,0.02
MNE,Montenegro,Ingreso Mediano Alto,5542.05418112616,0.0,Montenegro,Ingreso Mediano Alto,4769.99686600758,0.0,Montenegro,Ingreso Mediano Alto,5861.427505124931,0.0,Montenegro,Ingreso Mediano Alto,6229.80158079157,0.0,Montenegro,Ingreso Mediano Alto,7530.59337522034,0.0
MNG,Mongolia,Ingreso Mediano Alto,14206.3590175143,0.01,Mongolia,Ingreso Mediano Alto,13312.9814290891,0.01,Mongolia,Ingreso Mediano Alto,15286.4417376686,0.01,Mongolia,Ingreso Mediano Alto,17146.471713748,0.01,Mongolia,Ingreso Mediano Alto,20325.1213939074,0.01
MNP,Northern Mariana Islands,Ingreso Alto,1179.0,0.0,Northern Mariana Islands,Ingreso Alto,866.0,0.0,Northern Mariana Islands,Ingreso Alto,914.0,0.0,Northern Mariana Islands,Ingreso Alto,1096.0,0.0,Northern Mariana Islands,Ingreso Alto,0.0,0.0
MOZ,Mozambique,Países De Ingreso Bajo,15512.759046672,0.01,Mozambique,Países De Ingreso Bajo,14235.4201741884,0.01,Mozambique,Países De Ingreso Bajo,16168.0554754449,0.01,Mozambique,Países De Ingreso Bajo,18883.5285813734,0.01,Mozambique,Países De Ingreso Bajo,20954.220983547297,0.01
MRT,Mauritania,Países De Ingreso Mediano Bajo,7894.76488582312,0.0,Mauritania,Países De Ingreso Mediano Bajo,8260.75238523089,0.0,Mauritania,Países De Ingreso Mediano Bajo,9222.53636401272,0.0,Mauritania,Países De Ingreso Mediano Bajo,9557.966698253693,0.0,Mauritania,Países De Ingreso Mediano Bajo,10651.7094114594,0.0
MUS,Mauritius,Ingreso Mediano Alto,14436.3469796355,0.01,Mauritius,Ingreso Mediano Alto,11408.1064463144,0.01,Mauritius,Ingreso Mediano Alto,11484.3488578529,0.0,Mauritius,Ingreso Mediano Alto,12927.9792860453,0.0,Mauritius,Ingreso Mediano Alto,14644.5248190054,0.01
MWI,Malawi,Países De Ingreso Bajo,11051.8655798121,0.01,Malawi,Países De Ingreso Bajo,11769.3135978545,0.01,Malawi,Países De Ingreso Bajo,12378.1297509872,0.01,Malawi,Países De Ingreso Bajo,12429.060150742,0.0,Malawi,Países De Ingreso Bajo,12712.1500820792,0.0
MYS,Malaysia,Ingreso Mediano Alto,365177.721021516,0.17,Malaysia,Ingreso Mediano Alto,337456.163961211,0.16,Malaysia,Ingreso Mediano Alto,373784.823672946,0.16,Malaysia,Ingreso Mediano Alto,407605.841348235,0.16,Malaysia,Ingreso Mediano Alto,399705.169318477,0.14
NAM,Namibia,Ingreso Mediano Alto,12541.92830348,0.01,Namibia,Ingreso Mediano Alto,10583.748541525802,0.0,Namibia,Ingreso Mediano Alto,12402.4861836396,0.01,Namibia,Ingreso Mediano Alto,12567.2710046761,0.0,Namibia,Ingreso Mediano Alto,12351.0250669131,0.0
NCL,New Caledonia,Ingreso Alto,9475.655324594947,0.0,New Caledonia,Ingreso Alto,9454.62946791408,0.0,New Caledonia,Ingreso Alto,10071.3496638484,0.0,New Caledonia,Ingreso Alto,9623.318718314593,0.0,New Caledonia,Ingreso Alto,0.0,0.0
NER,Niger,Países De Ingreso Bajo,12889.5555612299,0.01,Niger,Países De Ingreso Bajo,13744.653103058,0.01,Niger,Países De Ingreso Bajo,14915.002436069,0.01,Niger,Países De Ingreso Bajo,15433.8527122963,0.01,Niger,Países De Ingreso Bajo,16819.1704205653,0.01
NGA,Nigeria,Países De Ingreso Mediano Bajo,474517.490844461,0.22,Nigeria,Países De Ingreso Mediano Bajo,432198.898467795,0.2,Nigeria,Países De Ingreso Mediano Bajo,440833.63587382704,0.19,Nigeria,Países De Ingreso Mediano Bajo,477403.400101174,0.18,Nigeria,Países De Ingreso Mediano Bajo,363846.332834618,0.13
NIC,Nicaragua,Países De Ingreso Mediano Bajo,12699.028889666,0.01,Nicaragua,Países De Ingreso Mediano Bajo,12681.5692542815,0.01,Nicaragua,Países De Ingreso Mediano Bajo,14144.0608531362,0.01,Nicaragua,Países De Ingreso Mediano Bajo,15649.8971168965,0.01,Nicaragua,Países De Ingreso Mediano Bajo,17829.2182193591,0.01
NLD,Netherlands,Ingreso Alto,928903.005576469,0.43,Netherlands,Ingreso Alto,932560.86170117,0.44,Netherlands,Ingreso Alto,1054472.1234496,0.45,Netherlands,Ingreso Alto,1046540.79754864,0.4,Netherlands,Ingreso Alto,1154361.30539806,0.42
NOR,Norway,Ingreso Alto,408742.840909091,0.19,Norway,Ingreso Alto,367633.418886627,0.17,Norway,Ingreso Alto,503367.986030268,0.21,Norway,Ingreso Alto,593726.965415619,0.23,Norway,Ingreso Alto,485310.823603662,0.18
NPL,Nepal,Países De Ingreso Mediano Bajo,34186.1806990255,0.02,Nepal,Países De Ingreso Mediano Bajo,33433.659301246604,0.02,Nepal,Países De Ingreso Mediano Bajo,36924.8413942605,0.02,Nepal,Países De Ingreso Mediano Bajo,41182.93960067,0.02,Nepal,Países De Ingreso Mediano Bajo,40908.0733668455,0.01
NRU,Nauru,Ingreso Alto,124.871111377973,0.0,Nauru,Ingreso Alto,124.530027301054,0.0,Nauru,Ingreso Alto,175.513984500084,0.0,Nauru,Ingreso Alto,156.80308730249598,0.0,Nauru,Ingreso Alto,154.170289321861,0.0
NZL,New Zealand,Ingreso Alto,212846.907683439,0.1,New Zealand,Ingreso Alto,212697.53089756,0.1,New Zealand,Ingreso Alto,253644.079784977,0.11,New Zealand,Ingreso Alto,246733.522841353,0.09,New Zealand,Ingreso Alto,252175.506110168,0.09
OMN,Oman,Ingreso Alto,88060.8582574772,0.04,Oman,Ingreso Alto,75909.4928478544,0.04,Oman,Ingreso Alto,87323.7971391417,0.04,Oman,Ingreso Alto,111943.823146944,0.04,Oman,Ingreso Alto,108810.923276983,0.04
PAK,Pakistan,Países De Ingreso Mediano Bajo,320909.47277066903,0.15,Pakistan,Países De Ingreso Mediano Bajo,300425.609817981,0.14,Pakistan,Países De Ingreso Mediano Bajo,348516.64744514803,0.15,Pakistan,Países De Ingreso Mediano Bajo,374890.29566669394,0.14,Pakistan,Países De Ingreso Mediano Bajo,337912.301397727,0.12
PAN,Panama,Ingreso Alto,69778.9912,0.03,Panama,Ingreso Alto,57059.8465,0.03,Panama,Ingreso Alto,67396.3925,0.03,Panama,Ingreso Alto,76276.1167,0.03,Panama,Ingreso Alto,83318.1769,0.03
PER,Peru,Ingreso Mediano Alto,228346.006003648,0.11,Peru,Ingreso Mediano Alto,201409.694755934,0.09,Peru,Ingreso Mediano Alto,226354.27828088505,0.1,Peru,Ingreso Mediano Alto,246488.757636211,0.09,Peru,Ingreso Mediano Alto,267603.248655253,0.1
PHL,Philippines,Países De Ingreso Mediano Bajo,376823.402244928,0.17,Philippines,Países De Ingreso Mediano Bajo,361751.145451597,0.17,Philippines,Países De Ingreso Mediano Bajo,394087.35984811,0.17,Philippines,Países De Ingreso Mediano Bajo,404353.369604631,0.16,Philippines,Países De Ingreso Mediano Bajo,437146.372729942,0.16
PLW,Palau,Ingreso Alto,281.9415625,0.0,Palau,Ingreso Alto,258.99084375,0.0,Palau,Ingreso Alto,235.75290625,0.0,Palau,Ingreso Alto,255.5910625,0.0,Palau,Ingreso Alto,281.8490625,0.0
PNG,Papua New Guinea,Países De Ingreso Mediano Bajo,24750.626040591706,0.01,Papua New Guinea,Países De Ingreso Mediano Bajo,23848.4478497467,0.01,Papua New Guinea,Países De Ingreso Mediano Bajo,26109.413522308103,0.01,Papua New Guinea,Países De Ingreso Mediano Bajo,31647.2777673976,0.01,Papua New Guinea,Países De Ingreso Mediano Bajo,30729.2429194411,0.01
POL,Poland,Ingreso Alto,602683.77014488,0.28,Poland,Ingreso Alto,605914.2379037419,0.28,Poland,Ingreso Alto,689170.23066535,0.29,Poland,Ingreso Alto,695607.470875276,0.27,Poland,Ingreso Alto,809200.6977970881,0.29
PRI,Puerto Rico,Ingreso Alto,105126.4,0.05,Puerto Rico,Ingreso Alto,103130.9,0.05,Puerto Rico,Ingreso Alto,106426.6,0.04,Puerto Rico,Ingreso Alto,113567.2,0.04,Puerto Rico,Ingreso Alto,117902.3,0.04
PRK,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0
PRT,Portugal,Ingreso Alto,240115.97006301905,0.11,Portugal,Ingreso Alto,229618.77342257695,0.11,Portugal,Ingreso Alto,256055.879091139,0.11,Portugal,Ingreso Alto,256898.675068927,0.1,Portugal,Ingreso Alto,289114.289663542,0.1
PRY,Paraguay,Ingreso Mediano Alto,37925.3383291494,0.02,Paraguay,Ingreso Mediano Alto,35432.1780681814,0.02,Paraguay,Ingreso Mediano Alto,39950.8999387482,0.02,Paraguay,Ingreso Mediano Alto,41952.9108580846,0.02,Paraguay,Ingreso Mediano Alto,42956.2635439482,0.02
PSE,"Palestine, State Of",Países De Ingreso Mediano Bajo,17133.5,0.01,"Palestine, State Of",Países De Ingreso Mediano Bajo,15531.7,0.01,"Palestine, State Of",Países De Ingreso Mediano Bajo,18109.0,0.01,"Palestine, State Of",Países De Ingreso Mediano Bajo,19165.5,0.01,"Palestine, State Of",Países De Ingreso Mediano Bajo,17420.8,0.01
PYF,French Polynesia,Ingreso Alto,6022.276196138711,0.0,French Polynesia,Ingreso Alto,5792.54587080614,0.0,French Polynesia,Ingreso Alto,6150.64064638319,0.0,French Polynesia,Ingreso Alto,5814.661208905441,0.0,French Polynesia,Ingreso Alto,0.0,0.0
QAT,Qatar,Ingreso Alto,176371.267689082,0.08,Qatar,Ingreso Alto,144411.36334527,0.07,Qatar,Ingreso Alto,179732.009554846,0.08,Qatar,Ingreso Alto,235709.325708341,0.09,Qatar,Ingreso Alto,213002.809330267,0.08
ROU,Romania,Ingreso Alto,251677.08253449496,0.12,Romania,Ingreso Alto,252033.792712145,0.12,Romania,Ingreso Alto,286578.196368297,0.12,Romania,Ingreso Alto,296354.358293475,0.11,Romania,Ingreso Alto,350775.85641518905,0.13
RUS,Russian Federation,Ingreso Alto,1693115.00270832,0.79,Russian Federation,Ingreso Alto,1493075.89436214,0.7,Russian Federation,Ingreso Alto,1843392.29373438,0.78,Russian Federation,Ingreso Alto,2266029.24064534,0.87,Russian Federation,Ingreso Alto,2021421.47603542,0.73
RWA,Rwanda,Países De Ingreso Bajo,10349.30038033,0.0,Rwanda,Países De Ingreso Bajo,10174.3873743478,0.0,Rwanda,Países De Ingreso Bajo,11069.280649645902,0.0,Rwanda,Países De Ingreso Bajo,13316.1608950447,0.01,Rwanda,Países De Ingreso Bajo,14097.7684721883,0.01
SAU,Saudi Arabia,Ingreso Alto,838564.8,0.39,Saudi Arabia,Ingreso Alto,734271.2,0.34,Saudi Arabia,Ingreso Alto,874156.0,0.37,Saudi Arabia,Ingreso Alto,1108571.4666666698,0.43,Saudi Arabia,Ingreso Alto,1067582.93333333,0.39
SDN,Sudan,Países De Ingreso Bajo,32338.0791652893,0.02,Sudan,Países De Ingreso Bajo,27034.59375,0.01,Sudan,Países De Ingreso Bajo,34229.5137749936,0.01,Sudan,Países De Ingreso Bajo,51666.8753630963,0.02,Sudan,Países De Ingreso Bajo,109265.503110904,0.04
SEN,Senegal,Países De Ingreso Mediano Bajo,23403.9959921354,0.01,Senegal,Países De Ingreso Mediano Bajo,24530.5130377518,0.01,Senegal,Países De Ingreso Mediano Bajo,27520.7841297508,0.01,Senegal,Países De Ingreso Mediano Bajo,27619.4790596131,0.01,Senegal,Países De Ingreso Mediano Bajo,30848.3330837055,0.01
SGP,Singapore,Ingreso Alto,376901.649222451,0.17,Singapore,Ingreso Alto,349488.382610662,0.16,Singapore,Ingreso Alto,434111.559282849,0.18,Singapore,Ingreso Alto,498474.54098778,0.19,Singapore,Ingreso Alto,501427.5000800591,0.18
SLB,Solomon Islands,Países De Ingreso Mediano Bajo,1619.1550173924,0.0,Solomon Islands,Países De Ingreso Mediano Bajo,1536.14581417007,0.0,Solomon Islands,Países De Ingreso Mediano Bajo,1522.7949130913998,0.0,Solomon Islands,Países De Ingreso Mediano Bajo,1566.36068610632,0.0,Solomon Islands,Países De Ingreso Mediano Bajo,1633.31940119414,0.0
SLE,Sierra Leone,Países De Ingreso Bajo,6523.57759038319,0.0,Sierra Leone,Países De Ingreso Bajo,6688.59475762129,0.0,Sierra Leone,Países De Ingreso Bajo,7165.21436764956,0.0,Sierra Leone,Países De Ingreso Bajo,7119.13732190082,0.0,Sierra Leone,Países De Ingreso Bajo,6411.86954628929,0.0
SLV,El Salvador,Ingreso Mediano Alto,26881.14,0.01,El Salvador,Ingreso Mediano Alto,24921.19,0.01,El Salvador,Ingreso Mediano Alto,29043.14,0.01,El Salvador,Ingreso Mediano Alto,31988.92,0.01,El Salvador,Ingreso Mediano Alto,34015.62,0.01
SMR,San Marino,Ingreso Alto,1616.23212512587,0.0,San Marino,Ingreso Alto,1544.71449324409,0.0,San Marino,Ingreso Alto,1855.39599976534,0.0,San Marino,Ingreso Alto,1831.70057708904,0.0,San Marino,Ingreso Alto,0.0,0.0
SOM,Somalia,Países De Ingreso Bajo,8655.023960002001,0.0,Somalia,Países De Ingreso Bajo,8628.39371999922,0.0,Somalia,Países De Ingreso Bajo,9483.99740425227,0.0,Somalia,Países De Ingreso Bajo,10202.7672699603,0.0,Somalia,Países De Ingreso Bajo,10968.5170900004,0.0
SRB,Serbia,Ingreso Mediano Alto,53864.6936645568,0.03,Serbia,Ingreso Mediano Alto,55874.017668998,0.03,Serbia,Ingreso Mediano Alto,66159.8840725308,0.03,Serbia,Ingreso Mediano Alto,66797.564758339,0.03,Serbia,Ingreso Mediano Alto,81342.6607523732,0.03
SSD,South Sudan,Países De Ingreso Bajo,0.0,0.0,South Sudan,Países De Ingreso Bajo,0.0,0.0,South Sudan,Países De Ingreso Bajo,0.0,0.0,South Sudan,Países De Ingreso Bajo,0.0,0.0,South Sudan,Países De Ingreso Bajo,0.0,0.0
