country_code,Country,2019_income_group,2019_total_gdp_million,2019_porcentaje,Country,2020_income_group,2020_total_gdp_million,2020_porcentaje,Country,2021_income_group,2021_total_gdp_million,2021_porcentaje,Country,2022_income_group,2022_total_gdp_million,2022_porcentaje,Country,2023_income_group,2023_total_gdp_million,2023_porcentaje
BHS,Bahamas,Ingreso Alto,13016.2,0.01,Bahamas,Ingreso Alto,9958.2,0.0,Bahamas,Ingreso Alto,11368.9,0.0,Bahamas,Ingreso Alto,13136.4,0.01,Bahamas,Ingreso Alto,14338.5,0.01
BIH,Bosnia And Herzegovina,Ingreso Mediano Alto,20482.608755379,0.01,Bosnia And Herzegovina,Ingreso Mediano Alto,20226.036564412894,0.01,Bosnia And Herzegovina,Ingreso Mediano Alto,23672.7122422149,0.01,Bosnia And Herzegovina,Ingreso Mediano Alto,24534.6636361778,0.01,Bosnia And Herzegovina,Ingreso Mediano Alto,27514.7824760406,0.01
BLR,Belarus,Ingreso Mediano Alto,64410.1228473508,0.03,Belarus,Ingreso Mediano Alto,61371.7553262351,0.03,Belarus,Ingreso Mediano Alto,69673.74713187,0.03,Belarus,Ingreso Mediano Alto,73775.179924603,0.03,Belarus,Ingreso Mediano Alto,71857.38274560659,0.03
BLZ,Belize,Ingreso Mediano Alto,2388.3,0.0,Belize,Ingreso Mediano Alto,2042.85,0.0,Belize,Ingreso Mediano Alto,2420.55,0.0,Belize,Ingreso Mediano Alto,2846.7,0.0,Belize,Ingreso Mediano Alto,3066.85,0.0
BMU,Bermuda,Ingreso Alto,7423.465,0.0,Bermuda,Ingreso Alto,6887.147,0.0,Bermuda,Ingreso Alto,7286.607,0.0,Bermuda,Ingreso Alto,7827.98,0.0,Bermuda,Ingreso Alto,8141.7,0.0
BOL,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,40895.3228437851,0.02,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,36629.8438050216,0.02,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,40406.111695179,0.02,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,44008.2828779606,0.02,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,45135.3980088166,0.02
BRA,Brazil,Ingreso Mediano Alto,1873288.20518645,0.87,Brazil,Ingreso Mediano Alto,1476107.23119411,0.69,Brazil,Ingreso Mediano Alto,1670647.39903467,0.71,Brazil,Ingreso Mediano Alto,1951923.94208332,0.75,Brazil,Ingreso Mediano Alto,2173665.65593727,0.78
BRB,Barbados,Ingreso Alto,5788.288,0.0,Barbados,Ingreso Alto,5168.34445,0.0,Barbados,Ingreso Alto,5275.24205,0.0,Barbados,Ingreso Alto,6257.3035,0.0,Barbados,Ingreso Alto,6720.7332,0.0
BRN,Brunei Darussalam,Ingreso Alto,13469.2353482211,0.01,Brunei Darussalam,Ingreso Alto,12005.7996642691,0.01,Brunei Darussalam,Ingreso Alto,14006.4966143195,0.01,Brunei Darussalam,Ingreso Alto,16681.5364425498,0.01,Brunei Darussalam,Ingreso Alto,15128.2929808638,0.01
BTN,Bhutan,Países De Ingreso Mediano Bajo,2735.68357028851,0.0,Bhutan,Países De Ingreso Mediano Bajo,2457.6043341591503,0.0,Bhutan,Países De Ingreso Mediano Bajo,2768.80295960794,0.0,Bhutan,Países De Ingreso Mediano Bajo,2898.22774313545,0.0,Bhutan,Países De Ingreso Mediano Bajo,0.0,0.0
BWA,Botswana,Ingreso Mediano Alto,16725.9081485481,0.01,Botswana,Ingreso Mediano Alto,14960.2911059316,0.01,Botswana,Ingreso Mediano Alto,18750.9466001423,0.01,Botswana,Ingreso Mediano Alto,20321.958850036302,0.01,Botswana,Ingreso Mediano Alto,19396.0844980084,0.01
CAF,Central African Republic,Países De Ingreso Bajo,2221.30135143918,0.0,Central African Republic,Países De Ingreso Bajo,2326.7209003804696,0.0,Central African Republic,Países De Ingreso Bajo,2516.49841246384,0.0,Central African Republic,Países De Ingreso Bajo,2382.61861501694,0.0,Central African Republic,Países De Ingreso Bajo,2555.49208524831,0.0
CAN,Canada,Ingreso Alto,1743725.18367252,0.81,Canada,Ingreso Alto,1655684.73000019,0.78,Canada,Ingreso Alto,2007472.1814641496,0.85,Canada,Ingreso Alto,2161483.36942201,0.83,Canada,Ingreso Alto,2142470.9144013603,0.77
CHE,Switzerland,Ingreso Alto,721369.112726724,0.33,Switzerland,Ingreso Alto,741999.406005627,0.35,Switzerland,Ingreso Alto,813408.787222499,0.34,Switzerland,Ingreso Alto,818426.5502064499,0.31,Switzerland,Ingreso Alto,884940.4022304091,0.32
CHL,Chile,Ingreso Alto,278285.058719466,0.13,Chile,Ingreso Alto,254042.159309311,0.12,Chile,Ingreso Alto,315515.014838539,0.13,Chile,Ingreso Alto,302116.53940903005,0.12,Chile,Ingreso Alto,335533.331669219,0.12
CHN,China,Ingreso Mediano Alto,14279968.5062717,6.63,China,Ingreso Mediano Alto,14687744.162801,6.88,China,Ingreso Mediano Alto,17820459.5088522,7.53,China,Ingreso Mediano Alto,17881782.6837073,6.88,China,Ingreso Mediano Alto,17794783.039552,6.42
CIV,Côte D'Ivoire,Países De Ingreso Mediano Bajo,60382.894697355696,0.03,Côte D'Ivoire,Países De Ingreso Mediano Bajo,63027.8528054204,0.03,Côte D'Ivoire,Países De Ingreso Mediano Bajo,72794.6366537793,0.03,Côte D'Ivoire,Países De Ingreso Mediano Bajo,70173.1401014315,0.03,Côte D'Ivoire,Países De Ingreso Mediano Bajo,78875.4892450538,0.03
CMR,Cameroon,Países De Ingreso Mediano Bajo,39667.7575276578,0.02,Cameroon,Países De Ingreso Mediano Bajo,40773.2411770505,0.02,Cameroon,Países De Ingreso Mediano Bajo,45011.9373468384,0.02,Cameroon,Países De Ingreso Mediano Bajo,44347.2060725513,0.02,Cameroon,Países De Ingreso Mediano Bajo,49279.410982826,0.02
COD,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,51775.8298772088,0.02,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,48716.9618601325,0.02,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,55328.4827835393,0.02,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,65801.5476195815,0.03,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,66383.2870029867,0.02
COG,Congo,Países De Ingreso Mediano Bajo,13976.6377799763,0.01,Congo,Países De Ingreso Mediano Bajo,11468.6874640046,0.01,Congo,Países De Ingreso Mediano Bajo,14825.690210915702,0.01,Congo,Países De Ingreso Mediano Bajo,15817.0301546941,0.01,Congo,Países De Ingreso Mediano Bajo,15321.0558225167,0.01
COL,Colombia,Ingreso Mediano Alto,323031.70119284,0.15,Colombia,Ingreso Mediano Alto,270348.342541465,0.13,Colombia,Ingreso Mediano Alto,318524.633225395,0.13,Colombia,Ingreso Mediano Alto,345329.875078512,0.13,Colombia,Ingreso Mediano Alto,363493.841244303,0.13
COM,Comoros,Países De Ingreso Mediano Bajo,1195.0195319011,0.0,Comoros,Países De Ingreso Mediano Bajo,1225.03919661091,0.0,Comoros,Países De Ingreso Mediano Bajo,1296.08947991978,0.0,Comoros,Países De Ingreso Mediano Bajo,1242.51940777603,0.0,Comoros,Países De Ingreso Mediano Bajo,1352.38097124055,0.0
CPV,Cabo Verde,Países De Ingreso Mediano Bajo,2252.17713374705,0.0,Cabo Verde,Países De Ingreso Mediano Bajo,1821.5656176945,0.0,Cabo Verde,Países De Ingreso Mediano Bajo,2051.84260964558,0.0,Cabo Verde,Países De Ingreso Mediano Bajo,2247.00334763376,0.0,Cabo Verde,Países De Ingreso Mediano Bajo,2533.8194064916,0.0
CRI,Costa Rica,Ingreso Mediano Alto,64417.6705213545,0.03,Costa Rica,Ingreso Mediano Alto,62395.6107600492,0.03,Costa Rica,Ingreso Mediano Alto,64960.7257341965,0.03,Costa Rica,Ingreso Mediano Alto,69243.6260285936,0.03,Costa Rica,Ingreso Mediano Alto,86497.94143901739,0.03
CUB,Cuba,Ingreso Mediano Alto,103427.6,0.05,Cuba,Ingreso Mediano Alto,107351.8,0.05,Cuba,Ingreso Mediano Alto,0.0,0.0,Cuba,Ingreso Mediano Alto,0.0,0.0,Cuba,Ingreso Mediano Alto,0.0,0.0
CUW,Curaçao,Ingreso Alto,3026.12413407821,0.0,Curaçao,Ingreso Alto,2534.32759776536,0.0,Curaçao,Ingreso Alto,2739.60815642458,0.0,Curaçao,Ingreso Alto,3075.1808347241704,0.0,Curaçao,Ingreso Alto,3281.41934737053,0.0
CYM,Cayman Islands,Ingreso Alto,5941.89660758643,0.0,Cayman Islands,Ingreso Alto,5655.35802143209,0.0,Cayman Islands,Ingreso Alto,6060.02652010608,0.0,Cayman Islands,Ingreso Alto,6600.84396337585,0.0,Cayman Islands,Ingreso Alto,7139.42855771423,0.0
CYP,Cyprus,Ingreso Alto,26196.6670995303,0.01,Cyprus,Ingreso Alto,25555.0938542968,0.01,Cyprus,Ingreso Alto,30372.874319628503,0.01,Cyprus,Ingreso Alto,30976.1768868521,0.01,Cyprus,Ingreso Alto,33886.9307123394,0.01
CZE,Czechia,Ingreso Alto,256794.20902877,0.12,Czechia,Ingreso Alto,251109.660602536,0.12,Czechia,Ingreso Alto,290972.71448231296,0.12,Czechia,Ingreso Alto,301831.22832555603,0.12,Czechia,Ingreso Alto,343207.87455373403,0.12
DEU,Germany,Ingreso Alto,3957208.05521568,1.84,Germany,Ingreso Alto,3940142.5413541,1.85,Germany,Ingreso Alto,4348297.440387529,1.84,Germany,Ingreso Alto,4163596.35787939,1.6,Germany,Ingreso Alto,4525703.903627531,1.63
DJI,Djibouti,Países De Ingreso Mediano Bajo,3088.85363856832,0.0,Djibouti,Países De Ingreso Mediano Bajo,3185.1509810320704,0.0,Djibouti,Países De Ingreso Mediano Bajo,3385.82522886997,0.0,Djibouti,Países De Ingreso Mediano Bajo,3674.29847907676,0.0,Djibouti,Países De Ingreso Mediano Bajo,4098.53051355777,0.0
DMA,Dominica,Ingreso Mediano Alto,611.5370370370371,0.0,Dominica,Ingreso Mediano Alto,504.214814814815,0.0,Dominica,Ingreso Mediano Alto,555.266666666667,0.0,Dominica,Ingreso Mediano Alto,607.159259259259,0.0,Dominica,Ingreso Mediano Alto,653.9925925925929,0.0
DNK,Denmark,Ingreso Alto,345401.473012615,0.16,Denmark,Ingreso Alto,355631.02193162096,0.17,Denmark,Ingreso Alto,408378.204639999,0.17,Denmark,Ingreso Alto,401945.576107963,0.15,Denmark,Ingreso Alto,407091.920305404,0.15
DOM,Dominican Republic,Ingreso Mediano Alto,88941.3725582397,0.04,Dominican Republic,Ingreso Mediano Alto,78844.6562981776,0.04,Dominican Republic,Ingreso Mediano Alto,94243.4259383647,0.04,Dominican Republic,Ingreso Mediano Alto,113537.36817613,0.04,Dominican Republic,Ingreso Mediano Alto,121444.279313931,0.04
