country_code,Country,2021_income_group,2021_total_gdp_million,2021_porcentaje
ABW,Aruba,Ingreso Alto,2929.44657825104,0.0
AFG,Afghanistan,Países De Ingreso Bajo,14259.995441075898,0.01
AGO,Angola,Países De Ingreso Mediano Bajo,66505.1299877235,0.03
ALB,Albania,Ingreso Mediano Alto,18032.0105637558,0.01
AND,Andorra,Ingreso Alto,3324.647529381,0.0
ARE,United Arab Emirates,Ingreso Alto,415178.792769884,0.18
ARG,Argentina,Ingreso Mediano Alto,486564.085480036,0.21
ARM,Armenia,Ingreso Mediano Alto,13878.9086289378,0.01
ASM,American Samoa,Ingreso Alto,750.0,0.0
ATG,Antigua And Barbuda,Ingreso Alto,1601.36666666667,0.0
AUS,Australia,Ingreso Alto,1556735.77043726,0.66
AUT,Austria,Ingreso Alto,480467.03733878303,0.2
AZE,Azerbaijan,Ingreso Mediano Alto,54825.4117647059,0.02
BDI,Burundi,Países De Ingreso Bajo,2775.79869746022,0.0
BEL,Belgium,Ingreso Alto,598494.036474409,0.25
BEN,Benin,Países De Ingreso Mediano Bajo,17690.0835199323,0.01
BFA,Burkina Faso,Países De Ingreso Bajo,19697.5162843787,0.01
BGD,Bangladesh,Países De Ingreso Mediano Bajo,416271.647911014,0.18
BGR,Bulgaria,Ingreso Alto,84417.9512608091,0.04
BHR,Bahrain,Ingreso Alto,40840.2127659574,0.02
BHS,Bahamas,Ingreso Alto,11368.9,0.0
BIH,Bosnia And Herzegovina,Ingreso Mediano Alto,23672.7122422149,0.01
BLR,Belarus,Ingreso Mediano Alto,69673.74713187,0.03
BLZ,Belize,Ingreso Mediano Alto,2420.55,0.0
BMU,Bermuda,Ingreso Alto,7286.607,0.0
BOL,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,40406.111695179,0.02
BRA,Brazil,Ingreso Mediano Alto,1670647.39903467,0.71
BRB,Barbados,Ingreso Alto,5275.24205,0.0
BRN,Brunei Darussalam,Ingreso Alto,14006.4966143195,0.01
BTN,Bhutan,Países De Ingreso Mediano Bajo,2768.80295960794,0.0
BWA,Botswana,Ingreso Mediano Alto,18750.9466001423,0.01
CAF,Central African Republic,Países De Ingreso Bajo,2516.49841246384,0.0
CAN,Canada,Ingreso Alto,2007472.1814641496,0.85
CHE,Switzerland,Ingreso Alto,813408.787222499,0.34
CHL,Chile,Ingreso Alto,315515.014838539,0.13
CHN,China,Ingreso Mediano Alto,17820459.5088522,7.53
CIV,Côte D'Ivoire,Países De Ingreso Mediano Bajo,72794.6366537793,0.03
