country_code,Country,2021_income_group,2021_total_gdp_million,2021_porcentaje
CMR,Cameroon,Países De Ingreso Mediano Bajo,45011.9373468384,0.02
COD,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,55328.4827835393,0.02
COG,Congo,Países De Ingreso Mediano Bajo,14825.690210915702,0.01
COL,Colombia,Ingreso Mediano Alto,318524.633225395,0.13
COM,Comoros,Países De Ingreso Mediano Bajo,1296.08947991978,0.0
CPV,Cabo Verde,Países De Ingreso Mediano Bajo,2051.84260964558,0.0
CRI,Costa Rica,Ingreso Mediano Alto,64960.7257341965,0.03
CUB,Cuba,Ingreso Mediano Alto,0.0,0.0
CUW,Curaçao,Ingreso Alto,2739.60815642458,0.0
CYM,Cayman Islands,Ingreso Alto,6060.02652010608,0.0
CYP,Cyprus,Ingreso Alto,30372.874319628503,0.01
CZE,Czechia,Ingreso Alto,290972.71448231296,0.12
DEU,Germany,Ingreso Alto,4348297.440387529,1.84
DJI,Djibouti,Países De Ingreso Mediano Bajo,3385.82522886997,0.0
DMA,Dominica,Ingreso Mediano Alto,555.266666666667,0.0
DNK,Denmark,Ingreso Alto,408378.204639999,0.17
DOM,Dominican Republic,Ingreso Mediano Alto,94243.4259383647,0.04
DZA,Algeria,Ingreso Mediano Alto,186231.205262082,0.08
ECU,Ecuador,Ingreso Mediano Alto,107435.101,0.05
EGY,Egypt,Países De Ingreso Mediano Bajo,424671.765455704,0.18
ERI,Eritrea,Países De Ingreso Bajo,0.0,0.0
ESP,Spain,Ingreso Alto,1461244.90185269,0.62
EST,Estonia,Ingreso Alto,37204.56305147229,0.02
ETH,Ethiopia,Países De Ingreso Bajo,111261.882958426,0.05
FIN,Finland,Ingreso Alto,294223.210496119,0.12
FJI,Fiji,Ingreso Mediano Alto,4305.03163081808,0.0
FRA,France,Ingreso Alto,2966433.6920080897,1.25
FRO,Faroe Islands,Ingreso Alto,3664.68679662669,0.0
FSM,Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,390.0,0.0
GAB,Gabon,Ingreso Mediano Alto,19444.935097239497,0.01
GBR,United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,3143323.05070726,1.33
GEO,Georgia,Ingreso Mediano Alto,18853.1155888106,0.01
GHA,Ghana,Países De Ingreso Mediano Bajo,79524.42186127431,0.03
GIB,Gibraltar,Ingreso Alto,0.0,0.0
GIN,Guinea,Países De Ingreso Mediano Bajo,17069.115737825898,0.01
GMB,Gambia,Países De Ingreso Bajo,2014.15884214596,0.0
GNB,Guinea-Bissau,Países De Ingreso Bajo,1853.79645589489,0.0
GNQ,Equatorial Guinea,Ingreso Mediano Alto,12215.8780327166,0.01
GRC,Greece,Ingreso Alto,218303.801895326,0.09
GRD,Grenada,Ingreso Mediano Alto,1122.8,0.0
GRL,Greenland,Ingreso Alto,3235.8095042987097,0.0
GTM,Guatemala,Ingreso Mediano Alto,86478.8356363813,0.04
GUM,Guam,Ingreso Alto,6234.0,0.0
GUY,Guyana,Ingreso Alto,8041.36389304556,0.0
HKG,Hong Kong,Ingreso Alto,368954.169748818,0.16
HND,Honduras,Países De Ingreso Mediano Bajo,28144.331506614897,0.01
HRV,Croatia,Ingreso Alto,69006.8022986956,0.03
HTI,Haiti,Países De Ingreso Mediano Bajo,20877.4149526375,0.01
HUN,Hungary,Ingreso Alto,182109.99947769105,0.08
IDN,Indonesia,Ingreso Mediano Alto,1186509.69107097,0.5
IMN,Isle Of Man,Ingreso Alto,7931.19322206405,0.0
IND,India,Países De Ingreso Mediano Bajo,3167270.62326047,1.34
IRL,Ireland,Ingreso Alto,531306.516907984,0.22
IRN,Iran (Islamic Republic Of),Ingreso Mediano Alto,383436.202446695,0.16
IRQ,Iraq,Ingreso Mediano Alto,209691.945713103,0.09
ISL,Iceland,Ingreso Alto,25825.287184381803,0.01
ISR,Israel,Ingreso Alto,489708.27889305295,0.21
ITA,Italy,Ingreso Alto,2179207.7735960903,0.92
JAM,Jamaica,Ingreso Mediano Alto,14657.5861270331,0.01
JOR,Jordan,Países De Ingreso Mediano Bajo,46296.1001408451,0.02
JPN,Japan,Ingreso Alto,5034620.78458498,2.13
KAZ,Kazakhstan,Ingreso Mediano Alto,197112.255360612,0.08
KEN,Kenya,Países De Ingreso Mediano Bajo,109703.658904994,0.05
KGZ,Kyrgyzstan,Países De Ingreso Mediano Bajo,9249.13394626531,0.0
KHM,Cambodia,Países De Ingreso Mediano Bajo,36790.1636874421,0.02
KIR,Kiribati,Países De Ingreso Mediano Bajo,289.33929215730103,0.0
KNA,Saint Kitts And Nevis,Ingreso Alto,858.6222222222219,0.0
KOR,"Korea, Republic Of",Ingreso Alto,1818432.10688004,0.77
KWT,Kuwait,Ingreso Alto,148459.291453471,0.06
LAO,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,18827.1485309347,0.01
LBN,Lebanon,Países De Ingreso Mediano Bajo,23131.941556784303,0.01
LBR,Liberia,Países De Ingreso Bajo,3513.0495,0.0
LBY,Libya,Ingreso Mediano Alto,35217.9956472862,0.01
LCA,Saint Lucia,Ingreso Mediano Alto,1867.18518518518,0.0
LIE,Liechtenstein,Ingreso Alto,7710.38008592257,0.0
LKA,Sri Lanka,Países De Ingreso Mediano Bajo,88609.32490197741,0.04
LSO,Lesotho,Países De Ingreso Mediano Bajo,2412.1300565585098,0.0
LTU,Lithuania,Ingreso Alto,67037.3210089679,0.03
LUX,Luxembourg,Ingreso Alto,85584.1059938746,0.04
LVA,Latvia,Ingreso Alto,38185.1257329451,0.02
MAC,Macao,Ingreso Alto,30969.334705051497,0.01
MAF,Saint Martin (French Part),Ingreso Alto,649.206262847519,0.0
MAR,Morocco,Países De Ingreso Mediano Bajo,142022.058447231,0.06
MCO,Monaco,Ingreso Alto,8623.242743295641,0.0
MDA,"Moldova, Republic Of",Ingreso Mediano Alto,13691.8692640794,0.01
MDG,Madagascar,Países De Ingreso Bajo,14554.7541165427,0.01
MDV,Maldives,Ingreso Mediano Alto,5252.45736955218,0.0
MEX,Mexico,Ingreso Mediano Alto,1316569.46693259,0.56
MHL,Marshall Islands,Ingreso Mediano Alto,258.9,0.0
MKD,North Macedonia,Ingreso Mediano Alto,14000.2838270154,0.01
MLI,Mali,Países De Ingreso Bajo,19309.4635080377,0.01
MLT,Malta,Ingreso Alto,19718.565605433,0.01
MMR,Myanmar,Países De Ingreso Mediano Bajo,66345.2911601683,0.03
MNE,Montenegro,Ingreso Mediano Alto,5861.427505124931,0.0
MNG,Mongolia,Ingreso Mediano Alto,15286.4417376686,0.01
MNP,Northern Mariana Islands,Ingreso Alto,914.0,0.0
MOZ,Mozambique,Países De Ingreso Bajo,16168.0554754449,0.01
MRT,Mauritania,Países De Ingreso Mediano Bajo,9222.53636401272,0.0
MUS,Mauritius,Ingreso Mediano Alto,11484.3488578529,0.0
MWI,Malawi,Países De Ingreso Bajo,12378.1297509872,0.01
MYS,Malaysia,Ingreso Mediano Alto,373784.823672946,0.16
NAM,Namibia,Ingreso Mediano Alto,12402.4861836396,0.01
NCL,New Caledonia,Ingreso Alto,10071.3496638484,0.0
NER,Niger,Países De Ingreso Bajo,14915.002436069,0.01
NGA,Nigeria,Países De Ingreso Mediano Bajo,440833.63587382704,0.19
NIC,Nicaragua,Países De Ingreso Mediano Bajo,14144.0608531362,0.01
NLD,Netherlands,Ingreso Alto,1054472.1234496,0.45
NOR,Norway,Ingreso Alto,503367.986030268,0.21
NPL,Nepal,Países De Ingreso Mediano Bajo,36924.8413942605,0.02
NRU,Nauru,Ingreso Alto,175.513984500084,0.0
NZL,New Zealand,Ingreso Alto,253644.079784977,0.11
OMN,Oman,Ingreso Alto,87323.7971391417,0.04
PAK,Pakistan,Países De Ingreso Mediano Bajo,348516.64744514803,0.15
PAN,Panama,Ingreso Alto,67396.3925,0.03
PER,Peru,Ingreso Mediano Alto,226354.27828088505,0.1
PHL,Philippines,Países De Ingreso Mediano Bajo,394087.35984811,0.17
PLW,Palau,Ingreso Alto,235.75290625,0.0
PNG,Papua New Guinea,Países De Ingreso Mediano Bajo,26109.413522308103,0.01
POL,Poland,Ingreso Alto,689170.23066535,0.29
PRI,Puerto Rico,Ingreso Alto,106426.6,0.04
PRK,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0
PRT,Portugal,Ingreso Alto,256055.879091139,0.11
PRY,Paraguay,Ingreso Mediano Alto,39950.8999387482,0.02
PSE,"Palestine, State Of",Países De Ingreso Mediano Bajo,18109.0,0.01
PYF,French Polynesia,Ingreso Alto,6150.64064638319,0.0
QAT,Qatar,Ingreso Alto,179732.009554846,0.08
ROU,Romania,Ingreso Alto,286578.196368297,0.12
RUS,Russian Federation,Ingreso Alto,1843392.29373438,0.78
RWA,Rwanda,Países De Ingreso Bajo,11069.280649645902,0.0
SAU,Saudi Arabia,Ingreso Alto,874156.0,0.37
SDN,Sudan,Países De Ingreso Bajo,34229.5137749936,0.01
SEN,Senegal,Países De Ingreso Mediano Bajo,27520.7841297508,0.01
SGP,Singapore,Ingreso Alto,434111.559282849,0.18
SLB,Solomon Islands,Países De Ingreso Mediano Bajo,1522.7949130913998,0.0
SLE,Sierra Leone,Países De Ingreso Bajo,7165.21436764956,0.0
SLV,El Salvador,Ingreso Mediano Alto,29043.14,0.01
SMR,San Marino,Ingreso Alto,1855.39599976534,0.0
SOM,Somalia,Países De Ingreso Bajo,9483.99740425227,0.0
SRB,Serbia,Ingreso Mediano Alto,66159.8840725308,0.03
SSD,South Sudan,Países De Ingreso Bajo,0.0,0.0
STP,Sao Tome And Principe,Países De Ingreso Mediano Bajo,524.40245554816,0.0
SUR,Suriname,Ingreso Mediano Alto,3107.92319796954,0.0
SVK,Slovakia,Ingreso Alto,120592.216208386,0.05
SVN,Slovenia,Ingreso Alto,61529.280461092,0.03
SWE,Sweden,Ingreso Alto,637186.904843636,0.27
SWZ,Eswatini,Países De Ingreso Mediano Bajo,4737.67157632851,0.0
SXM,Sint Maarten (Dutch Part),Ingreso Alto,1353.07106145251,0.0
SYC,Seychelles,Ingreso Alto,1487.17379480528,0.0
SYR,Syrian Arab Republic,Países De Ingreso Bajo,14353.2056784991,0.01
TCA,Turks And Caicos Islands,Ingreso Alto,1045.7824535755,0.0
TCD,Chad,Países De Ingreso Bajo,11779.9813328631,0.0
TGO,Togo,Países De Ingreso Bajo,8342.24364594438,0.0
THA,Thailand,Ingreso Mediano Alto,506256.4942973401,0.21
TJK,Tajikistan,Países De Ingreso Mediano Bajo,8937.805347139629,0.0
TKM,Turkmenistan,Ingreso Mediano Alto,50007.428571428594,0.02
TLS,Timor-Leste,Países De Ingreso Mediano Bajo,3624.8897,0.0
TON,Tonga,Ingreso Mediano Alto,518.22801209129,0.0
TTO,Trinidad And Tobago,Ingreso Alto,24496.397204717603,0.01
TUN,Tunisia,Países De Ingreso Mediano Bajo,46812.290143344,0.02
TUR,Turkey,Ingreso Mediano Alto,819865.223976115,0.35
TUV,Tuvalu,Ingreso Mediano Alto,60.1964057138393,0.0
TZA,"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,70655.6281478986,0.03
UGA,Uganda,Países De Ingreso Bajo,40529.7887486737,0.02
UKR,Ukraine,Ingreso Mediano Alto,199765.859570935,0.08
URY,Uruguay,Ingreso Alto,60760.7985955436,0.03
USA,United States Of America,Ingreso Alto,23681171.0,10.0
UZB,Uzbekistan,Países De Ingreso Mediano Bajo,77340.0600030347,0.03
VCT,Saint Vincent And The Grenadines,Ingreso Mediano Alto,872.2259259259259,0.0
VEN,Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0
VGB,Virgin Islands (British),Ingreso Alto,0.0,0.0
VIR,Virgin Islands (U.S.),Ingreso Alto,4507.0,0.0
VNM,Viet Nam,Países De Ingreso Mediano Bajo,366474.752771009,0.15
VUT,Vanuatu,Países De Ingreso Mediano Bajo,950.394006532514,0.0
WSM,Samoa,Países De Ingreso Mediano Bajo,843.923638733018,0.0
YEM,Yemen,Países De Ingreso Bajo,0.0,0.0
ZAF,South Africa,Ingreso Mediano Alto,420886.877628703,0.18
ZMB,Zambia,Países De Ingreso Mediano Bajo,22096.4169320089,0.01
ZWE,Zimbabwe,Países De Ingreso Mediano Bajo,27240.515108804902,0.01
