2020_country_code,2020_porcentaje,2020_Score,ingreso_norm,prensa_norm,indice_combinado
COL,0.13,57.34,0.018895348837209305,0.44652474993588087,0.23271004938654508
COM,0.0,70.23,0.0,0.2812259553731724,0.1406129776865862
COG,0.01,63.44,0.0014534883720930232,0.3682995639907668,0.1848765261814299
CRI,0.03,89.47,0.00436046511627907,0.034496024621697874,0.019428244868988472
HRV,0.03,71.49,0.00436046511627907,0.26506796614516537,0.13471421563072222
CUB,0.05,36.19,0.007267441860465117,0.7177481405488586,0.36250779120466187
CYP,0.01,79.55,0.0014534883720930232,0.1617081302898178,0.0815808093309554
,,76.43,,0.20171838933059738,
,,50.91,,0.528981790202616,
DNK,0.17,91.87,0.024709302325581398,0.0037189022826364937,0.014214102304108946
DJI,0.0,23.27,0.0,0.8834316491408053,0.44171582457040265
DOM,0.04,72.1,0.005813953488372093,0.25724544755065404,0.13152970051951307
ECU,0.04,67.38,0.005813953488372093,0.3177737881508078,0.16179387081958996
EGY,0.18,43.18,0.026162790697674417,0.6281097717363426,0.32713628121700855
SLV,0.01,70.3,0.0014534883720930232,0.2803282893049499,0.14089088883852147
GNQ,0.0,43.62,0.0,0.6224672993075147,0.3112336496537573
EST,0.01,87.39,0.0014534883720930232,0.061169530648884085,0.031311509510488555
SWZ,0.0,54.85,0.0,0.47845601436265706,0.23922800718132853
ETH,0.05,67.18,0.007267441860465117,0.3203385483457295,0.16380299510309732
FJI,0.0,72.59,0.0,0.2509617850730955,0.12548089253654776
FIN,0.13,92.07,0.018895348837209305,0.0011541420877148045,0.010024745462462055
FRA,1.24,77.08,0.1802325581395349,0.19338291869710178,0.18680773841831833
GAB,0.01,62.8,0.0014534883720930232,0.37650679661451647,0.18898014249330475
GMB,0.0,69.38,0.0,0.29212618620159014,0.14606309310079507
GEO,0.01,71.41,0.0014534883720930232,0.26609387022313413,0.13377367929761358
DEU,1.85,87.84,0.26889534883720934,0.055398820210310284,0.1621470845237598
GHA,0.03,77.74,0.00436046511627907,0.18491921005385992,0.0946398375850695
GRC,0.09,71.2,0.013081395348837208,0.26878686842780186,0.14093413188831955
GTM,0.04,64.26,0.005813953488372093,0.3577840471915874,0.18179900033997975
GIN,0.01,65.66,0.0014534883720930232,0.33983072582713514,0.17064210709961408
GNB,0.0,67.94,0.0,0.3105924596050269,0.15529622980251345
GUY,0.0,73.37,0.0,0.24095922031290062,0.12047961015645031
HTI,0.01,69.8,0.0014534883720930232,0.28674018979225435,0.1440968390821737
HND,0.01,51.8,0.0014534883720930232,0.5175686073352141,0.2595110478536536
HKG,0.16,69.99,0.023255813953488372,0.2843036676070787,0.15377974078028353
HUN,0.07,69.16,0.010174418604651164,0.294947422416004,0.1525609205103276
ISL,0.01,84.88,0.0014534883720930232,0.09335727109515268,0.047405379733622854
IND,1.25,54.67,0.1816860465116279,0.48076429853808655,0.3312251725248572
IDN,0.5,63.18,0.07267441860465117,0.37163375224416506,0.22215408542440812
,,35.19,,0.7305719415234675,
IRQ,0.08,44.63,0.011627906976744186,0.6095152603231597,0.31057158364995197
IRL,0.2,87.4,0.029069767441860468,0.061041292639138156,0.04505553004049931
ISR,0.19,69.16,0.027616279069767442,0.294947422416004,0.16128185074288573
ITA,0.89,76.31,0.12936046511627908,0.20325724544755053,0.1663088552819148
,,71.06,,0.2705822005642471,
JAM,0.01,89.49,0.0014534883720930232,0.03423954860220557,0.0178465184871493
JPN,2.37,71.14,0.3444767441860465,0.26955629648627843,0.30701652033616245
JOR,0.02,57.92,0.0029069767441860465,0.4390869453706078,0.2209969610573969
KAZ,0.08,45.89,0.011627906976744186,0.5933572710951525,0.30249258903594833
KEN,0.05,66.28,0.007267441860465117,0.33187996922287755,0.16957370554167134
,,70.67,,0.27558348294434454,
KWT,0.05,65.7,0.007267441860465117,0.33931777378815065,0.1732926078243079
KGZ,0.0,69.81,0.0,0.2866119517825082,0.1433059758912541
,,35.72,,0.7237753270069248,
LVA,0.02,81.44,0.0029069767441860465,0.1374711464478071,0.07018906159599658
LBN,0.01,66.81,0.0014534883720930232,0.32508335470633487,0.16326842153921395
LSO,0.0,69.55,0.0,0.2899461400359066,0.1449730700179533
LBR,0.0,67.75,0.0,0.31302898179020255,0.15651449089510128
LBY,0.02,44.23,0.0029069767441860465,0.6146447807130033,0.3087758787285947
LIE,0.0,80.48,0.0,0.1497819953834314,0.0748909976917157
LTU,0.03,78.81,0.00436046511627907,0.1711977430110284,0.08777910406365375
LUX,0.03,84.54,0.00436046511627907,0.09771736342651938,0.05103891427139922
MDG,0.01,72.32,0.0014534883720930232,0.25442421133624005,0.12793884985416654
MWI,0.01,70.68,0.0014534883720930232,0.2754552449345984,0.1384543666533457
MYS,0.16,66.88,0.023255813953488372,0.32418568863811226,0.1737207512958003
MDV,0.0,70.07,0.0,0.28327776352911005,0.14163888176455502
MLI,0.01,65.88,0.0014534883720930232,0.33700948961272115,0.1692314889924071
MLT,0.01,69.84,0.0014534883720930232,0.28622723775326997,0.1438403630626815
MRT,0.0,67.46,0.0,0.31674788407283916,0.15837394203641958
MUS,0.01,72.0,0.0014534883720930232,0.25852782764811477,0.1299906580101039
MEX,0.52,54.55,0.07558139534883722,0.4823031546550397,0.27894227500193847
,,68.84,,0.29905103872787875,
MNG,0.01,70.39,0.0014534883720930232,0.2791741472172351,0.14031381779466406
MNE,0.0,66.17,0.0,0.33329058733008454,0.16664529366504227
MAR,0.06,57.12,0.00872093023255814,0.44934598615029486,0.2290334581914265
MOZ,0.01,66.21,0.0014534883720930232,0.33277763529110027,0.16711556183159665
