Unnamed: 0,Country,2019_Rank,2019_Score,country_code_x,2019_income_group,2019_total_gdp_million,2019_porcentaje,2020_Rank,2020_Score,2020_income_group,2020_total_gdp_million,2020_porcentaje,2021_Rank,2021_Score,2021_income_group,2021_total_gdp_million,2021_porcentaje,2022_Rank,2022_Score,2022_income_group,2022_total_gdp_million,2022_porcentaje,2023_Rank,2023_Score,2023_income_group,2023_total_gdp_million,2023_porcentaje,2024_Rank,2024_Score,country_code_y,country_code
15,Benin,96.0,68.26,BEN,Países De Ingreso Mediano Bajo,14391.686309033,0.01,113.0,64.89,Países De Ingreso Mediano Bajo,15651.5452088783,0.01,114.0,61.82,Países De Ingreso Mediano Bajo,17690.0835199323,0.01,121.0,48.39,Países De Ingreso Mediano Bajo,17401.746309265498,0.01,112.0,52.44,Países De Ingreso Mediano Bajo,19676.0490757011,0.01,89.0,56.73,BEN,BEN
16,Bhutan,80.0,70.19,BTN,Países De Ingreso Mediano Bajo,2735.68357028851,0.0,67.0,71.1,Países De Ingreso Mediano Bajo,2457.6043341591503,0.0,65.0,71.14,Países De Ingreso Mediano Bajo,2768.80295960794,0.0,33.0,76.46,Países De Ingreso Mediano Bajo,2898.22774313545,0.0,90.0,59.25,Países De Ingreso Mediano Bajo,0.0,0.0,147.0,37.29,BTN,BTN
17,Bolivia,113.0,64.62,,,,,114.0,64.63,,,,110.0,64.53,,,,126.0,47.58,,,,117.0,51.09,,,,124.0,48.88,,
18,Bosnia and Herzegovina,63.0,70.98,,,,,58.0,71.49,,,,58.0,71.66,,,,67.0,65.64,,,,64.0,65.43,,,,81.0,58.85,,
19,Botswana,44.0,74.91,BWA,Ingreso Mediano Alto,16725.9081485481,0.01,39.0,76.44,Ingreso Mediano Alto,14960.2911059316,0.01,38.0,76.75,Ingreso Mediano Alto,18750.9466001423,0.01,95.0,58.49,Ingreso Mediano Alto,20321.958850036302,0.01,65.0,64.61,Ingreso Mediano Alto,19396.0844980084,0.01,79.0,59.78,BWA,BWA
20,Brazil,105.0,67.21,BRA,Ingreso Mediano Alto,1873288.20518645,0.87,107.0,65.95,Ingreso Mediano Alto,1476107.23119411,0.69,111.0,63.75,Ingreso Mediano Alto,1670647.39903467,0.71,110.0,55.36,Ingreso Mediano Alto,1951923.94208332,0.75,92.0,58.67,Ingreso Mediano Alto,2173665.65593727,0.78,82.0,58.59,BRA,BRA
21,Brunei,152.0,48.52,,,,,152.0,50.35,,,,154.0,50.09,,,,144.0,42.53,,,,142.0,44.2,,,,117.0,50.09,,
22,Bulgaria,111.0,64.89,BGR,Ingreso Alto,68631.72628927941,0.03,111.0,64.94,Ingreso Alto,70716.82123459669,0.03,112.0,62.71,Ingreso Alto,84417.9512608091,0.04,91.0,59.12,Ingreso Alto,90642.8518358996,0.03,71.0,62.98,Ingreso Alto,102407.653020606,0.04,59.0,65.32,BGR,BGR
23,Burkina Faso,36.0,75.47,BFA,Países De Ingreso Bajo,16032.8135033707,0.01,38.0,76.53,Países De Ingreso Bajo,17725.010532526798,0.01,37.0,76.83,Países De Ingreso Bajo,19697.5162843787,0.01,41.0,73.12,Países De Ingreso Bajo,18820.2186905948,0.01,58.0,67.64,Países De Ingreso Bajo,20324.6178445265,0.01,86.0,58.24,BFA,BFA
24,Burundi,159.0,47.11,BDI,Países De Ingreso Bajo,2576.5188798235304,0.0,160.0,44.67,Países De Ingreso Bajo,2649.68026144299,0.0,147.0,52.43,Países De Ingreso Bajo,2775.79869746022,0.0,107.0,55.74,Países De Ingreso Bajo,3338.72282765691,0.0,114.0,52.14,Países De Ingreso Bajo,2642.16166885211,0.0,108.0,51.78,BDI,BDI
25,Cambodia,143.0,54.1,KHM,Países De Ingreso Mediano Bajo,36685.3564077206,0.02,144.0,54.54,Países De Ingreso Mediano Bajo,34818.0739014851,0.02,144.0,53.16,Países De Ingreso Mediano Bajo,36790.1636874421,0.02,142.0,43.48,Países De Ingreso Mediano Bajo,39994.5329596074,0.02,147.0,42.02,Países De Ingreso Mediano Bajo,42335.6468957984,0.02,151.0,34.28,KHM,KHM
26,Cameroon,131.0,56.68,CMR,Países De Ingreso Mediano Bajo,39667.7575276578,0.02,134.0,56.72,Países De Ingreso Mediano Bajo,40773.2411770505,0.02,135.0,56.22,Países De Ingreso Mediano Bajo,45011.9373468384,0.02,118.0,49.1,Países De Ingreso Mediano Bajo,44347.2060725513,0.02,138.0,45.58,Países De Ingreso Mediano Bajo,49279.410982826,0.02,130.0,44.95,CMR,CMR
27,Canada,18.0,84.31,CAN,Ingreso Alto,1743725.18367252,0.81,16.0,84.71,Ingreso Alto,1655684.73000019,0.78,13.0,84.75,Ingreso Alto,2007472.1814641496,0.85,19.0,81.74,Ingreso Alto,2161483.36942201,0.83,15.0,83.53,Ingreso Alto,2142470.9144013603,0.77,14.0,81.7,CAN,CAN
28,Cape Verde,25.0,80.19,,,,,25.0,79.85,,,,27.0,79.91,,,,36.0,75.37,,,,33.0,75.72,,,,41.0,72.77,,
29,Central African Republic,145.0,52.73,CAF,Países De Ingreso Bajo,2221.30135143918,0.0,132.0,57.13,Países De Ingreso Bajo,2326.7209003804696,0.0,126.0,58.08,Países De Ingreso Bajo,2516.49841246384,0.0,101.0,56.96,Países De Ingreso Bajo,2382.61861501694,0.0,98.0,57.56,Países De Ingreso Bajo,2555.49208524831,0.0,76.0,60.12,CAF,CAF
30,Chad,122.0,63.29,TCD,Países De Ingreso Bajo,11314.9510917283,0.01,123.0,60.3,Países De Ingreso Bajo,10715.3960423343,0.01,123.0,59.8,Países De Ingreso Bajo,11779.9813328631,0.0,104.0,56.18,Países De Ingreso Bajo,12396.8075884082,0.0,109.0,53.73,Países De Ingreso Bajo,13149.3253623347,0.0,96.0,54.81,TCD,TCD
31,Chile,46.0,74.35,CHL,Ingreso Alto,278285.058719466,0.13,51.0,72.69,Ingreso Alto,254042.159309311,0.12,54.0,72.11,Ingreso Alto,315515.014838539,0.13,82.0,60.61,Ingreso Alto,302116.53940903005,0.12,83.0,60.09,Ingreso Alto,335533.331669219,0.12,52.0,67.32,CHL,CHL
32,China,177.0,21.08,CHN,Ingreso Mediano Alto,14279968.5062717,6.63,177.0,21.52,Ingreso Mediano Alto,14687744.162801,6.88,177.0,21.28,Ingreso Mediano Alto,17820459.5088522,7.53,175.0,25.17,Ingreso Mediano Alto,17881782.6837073,6.88,179.0,22.97,Ingreso Mediano Alto,17794783.039552,6.42,172.0,23.36,CHN,CHN
33,Colombia,129.0,57.18,COL,Ingreso Mediano Alto,323031.70119284,0.15,130.0,57.34,Ingreso Mediano Alto,270348.342541465,0.13,134.0,56.26,Ingreso Mediano Alto,318524.633225395,0.13,145.0,42.43,Ingreso Mediano Alto,345329.875078512,0.13,139.0,45.23,Ingreso Mediano Alto,363493.841244303,0.13,119.0,49.63,COL,COL
34,Comoros,56.0,72.09,COM,Países De Ingreso Mediano Bajo,1195.0195319011,0.0,75.0,70.23,Países De Ingreso Mediano Bajo,1225.03919661091,0.0,84.0,69.35,Países De Ingreso Mediano Bajo,1296.08947991978,0.0,83.0,60.16,Países De Ingreso Mediano Bajo,1242.51940777603,0.0,75.0,62.25,Países De Ingreso Mediano Bajo,1352.38097124055,0.0,71.0,61.47,COM,COM
35,Congo,117.0,63.96,COG,Países De Ingreso Mediano Bajo,13976.6377799763,0.01,118.0,63.44,Países De Ingreso Mediano Bajo,11468.6874640046,0.01,118.0,61.17,Países De Ingreso Mediano Bajo,14825.690210915702,0.01,93.0,58.64,Países De Ingreso Mediano Bajo,15817.0301546941,0.01,81.0,60.42,Países De Ingreso Mediano Bajo,15321.0558225167,0.01,69.0,62.57,COG,COG
36,Costa Rica,10.0,87.76,CRI,Ingreso Mediano Alto,64417.6705213545,0.03,7.0,89.47,Ingreso Mediano Alto,62395.6107600492,0.03,5.0,91.24,Ingreso Mediano Alto,64960.7257341965,0.03,8.0,85.92,Ingreso Mediano Alto,69243.6260285936,0.03,23.0,80.2,Ingreso Mediano Alto,86497.94143901739,0.03,26.0,76.13,CRI,CRI
37,Croatia,64.0,70.97,HRV,Ingreso Alto,61467.58219368241,0.03,59.0,71.49,Ingreso Alto,57963.37088507981,0.03,56.0,72.05,Ingreso Alto,69006.8022986956,0.03,48.0,70.42,Ingreso Alto,71198.6351019514,0.03,42.0,71.95,Ingreso Alto,84393.7955024421,0.03,48.0,68.79,HRV,HRV
38,Cuba,169.0,36.19,CUB,Ingreso Mediano Alto,103427.6,0.05,171.0,36.19,Ingreso Mediano Alto,107351.8,0.05,171.0,36.06,Ingreso Mediano Alto,0.0,0.0,173.0,27.32,Ingreso Mediano Alto,0.0,0.0,172.0,29.0,Ingreso Mediano Alto,0.0,0.0,168.0,25.63,CUB,CUB
39,Cyprus,28.0,78.26,CYP,Ingreso Alto,26196.6670995303,0.01,27.0,79.55,Ingreso Alto,25555.0938542968,0.01,26.0,80.15,Ingreso Alto,30372.874319628503,0.01,65.0,65.97,Ingreso Alto,30976.1768868521,0.01,55.0,68.62,Ingreso Alto,33886.9307123394,0.01,65.0,63.14,CYP,CYP
40,Czech Republic,40.0,75.11,,,,,40.0,76.43,,,,40.0,76.62,,,,20.0,80.54,,,,14.0,83.58,,,,17.0,80.14,,
41,DR Congo,154.0,48.29,,,,,150.0,50.91,,,,149.0,51.41,,,,125.0,47.66,,,,124.0,48.55,,,,123.0,48.91,,
42,Denmark,5.0,90.13,DNK,Ingreso Alto,345401.473012615,0.16,3.0,91.87,Ingreso Alto,355631.02193162096,0.17,4.0,91.43,Ingreso Alto,408378.204639999,0.17,2.0,90.27,Ingreso Alto,401945.576107963,0.15,3.0,89.48,Ingreso Alto,407091.920305404,0.15,2.0,89.6,DNK,DNK
43,Djibouti,173.0,28.64,DJI,Países De Ingreso Mediano Bajo,3088.85363856832,0.0,176.0,23.27,Países De Ingreso Mediano Bajo,3185.1509810320704,0.0,176.0,21.38,Países De Ingreso Mediano Bajo,3385.82522886997,0.0,164.0,35.75,Países De Ingreso Mediano Bajo,3674.29847907676,0.0,162.0,35.87,Países De Ingreso Mediano Bajo,4098.53051355777,0.0,161.0,30.14,DJI,DJI
44,Dominican Republic,55.0,72.1,DOM,Ingreso Mediano Alto,88941.3725582397,0.04,55.0,72.1,Ingreso Mediano Alto,78844.6562981776,0.04,50.0,74.4,Ingreso Mediano Alto,94243.4259383647,0.04,30.0,76.9,Ingreso Mediano Alto,113537.36817613,0.04,43.0,71.88,Ingreso Mediano Alto,121444.279313931,0.04,35.0,73.89,DOM,DOM
45,Ecuador,97.0,68.12,ECU,Ingreso Mediano Alto,107595.829,0.05,98.0,67.38,Ingreso Mediano Alto,95865.472,0.04,96.0,67.17,Ingreso Mediano Alto,107435.101,0.05,68.0,64.61,Ingreso Mediano Alto,116586.079,0.04,80.0,60.51,Ingreso Mediano Alto,118844.826,0.04,110.0,51.3,ECU,ECU
46,Egypt,163.0,43.53,EGY,Países De Ingreso Mediano Bajo,318678.815489749,0.15,166.0,43.18,Países De Ingreso Mediano Bajo,383817.841547099,0.18,166.0,43.83,Países De Ingreso Mediano Bajo,424671.765455704,0.18,168.0,30.23,Países De Ingreso Mediano Bajo,476747.720364742,0.18,166.0,33.37,Países De Ingreso Mediano Bajo,396002.49699696,0.14,170.0,25.1,EGY,EGY
47,El Salvador,81.0,70.19,SLV,Ingreso Mediano Alto,26881.14,0.01,74.0,70.3,Ingreso Mediano Alto,24921.19,0.01,82.0,69.51,Ingreso Mediano Alto,29043.14,0.01,112.0,54.09,Ingreso Mediano Alto,31988.92,0.01,115.0,51.36,Ingreso Mediano Alto,34015.62,0.01,133.0,44.01,SLV,SLV
48,Equatorial Guinea,165.0,41.65,GNQ,Ingreso Mediano Alto,11364.1335497478,0.01,165.0,43.62,Ingreso Mediano Alto,9893.8160077398,0.0,164.0,44.33,Ingreso Mediano Alto,12215.8780327166,0.01,141.0,43.96,Ingreso Mediano Alto,13687.6434356249,0.01,120.0,50.35,Ingreso Mediano Alto,12337.550583754,0.0,127.0,46.49,GNQ,GNQ
49,Eritrea,178.0,19.74,ERI,Países De Ingreso Bajo,0.0,0.0,178.0,16.5,Países De Ingreso Bajo,0.0,0.0,180.0,18.55,Países De Ingreso Bajo,0.0,0.0,179.0,19.62,Países De Ingreso Bajo,0.0,0.0,174.0,27.86,Países De Ingreso Bajo,0.0,0.0,180.0,16.64,ERI,ERI
50,Estonia,11.0,87.73,EST,Ingreso Alto,31873.7487700313,0.01,14.0,87.39,Ingreso Alto,31820.7714938974,0.01,15.0,84.75,Ingreso Alto,37204.56305147229,0.02,4.0,88.83,Ingreso Alto,38376.046174971,0.01,8.0,85.31,Ingreso Alto,41291.2452221948,0.01,6.0,86.44,EST,EST
